School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Porter,1,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,10,friends or family,relative/another adult,,,,,2010-2011,,
Truman,7,> 1 family,2 parents,,,,,2010-2011,,
Alder,6,in a motel,1 parent,,,,,2010-2011,,
Ruble,7,> 1 family,1 parent,,,,,2010-2011,,
Primrose,2,in a motel,1 parent,,Yes,,,2010-2011,,
Kaiser H.S.,10,> 1 family,1 parent,,,,,2010-2011,,
Alder,8,other,1 parent,,,,,2010-2011,,
Alder,7,> 1 family,> 1 family,,,,,2010-2011,,
Citrus,1,Other,1 parent,,,,,2010-2011,,
Oleander,1,> 1 family,1 parent,,,,,2010-2011,,
Southridge,7,other,2 parents,,,,,2010-2011,,
Fontana M.S.,7,> 1 family,1 parent,,,,,2010-2011,,
Binks,2,> 1 family,1 parent,,,,,2010-2011,,
Binks,1,> 1 family,1 parent,,,,,2010-2011,,
Alder,8,> 1 family,2 parents,,Yes,,,2010-2011,,
Truman,7,friends or family,1 parent,,Yes,,,2010-2011,,
Cypress,2,friends or family,1 parent,,,,,2010-2011,,
Juniper,1,> 1 family,2 parents,,,,,2010-2011,,
Shadow Hills,2,> 1 family,1 parent & another adult,,,,,2010-2011,,
Jurupa,10,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,12,> 1 family,2 parents,,,,,2010-2011,,
Southridge,7,> 1 family,2 parents,,,,,2010-2011,,
Citrus,6,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,9,> 1 family,1 parent,,,,,2010-2011,,
Hemlock,5,Other,2 parents,,,,,2010-2011,,
Hemlock,K,> 1 family,2 parents,,,,,2010-2011,,
Randall Pepper,K,> 1 family,1 parent,,,,,2010-2011,,
,3,friends or family,1 parent,,,,,2010-2011,,
Kaiser H.S.,9,>1 family,2 parents,,,,,2010-2011,,
Date,3,> 1 family,1 parent,,,,,2010-2011,,
Oleander,1,> 1 family,2 parents,,,,,2010-2011,,
Cypress,K,> 1 family,unknown,,,,,2010-2011,,
Kaiser H.S.,12,> 1 family,1 parent,,,,,2010-2011,,
Oleander,5,> 1 family,2 parents,,,,,2010-2011,,
Alder,7,> 1 family,1 parent,,,,,2010-2011,,
Redwood,2,> 1 family,2 parents,,,,,2010-2011,,
Ruble,8,> 1 family,1 parent,,,,,2010-2011,,
Ruble,6,> 1 family,1 parent,,Yes,,,2010-2011,,
Cypress,3,other,2 parents,,,,,2010-2011,,
Juniper,2,> 1 family,1 parent,,,,,2010-2011,,
Porter,3,> 1 family,1 parent & another adult,,,,,2010-2011,,
S. Tamarind,1,> 1 family,relative/another adult,,,,,2010-2011,,
Southridge,8,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,12,>1 family,2 parents,,,,,2010-2011,,
Truman,7,> 1 family,1 parent,,,,,2010-2011,,
A.B. Miller,11,> 1 family,1 parent,,,,,2010-2011,,
