School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
S. Tamarind,2,temp. family/friends,2 parents,,,,,2012-2013,,
Porter,2,>1 family,2 parents,,,,,2012-2013,,
Almond,1,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Citrus,1,>1 family,>1 family,Yes,,,,2012-2013,,
Date,4,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Date,4,>1 family,2 parents,Yes,,,,2012-2013,,
Grant,3,>1 family,2 parents,,,,,2012-2013,,
Grant,3,temp. family/friends,1 parent,,,,,2012-2013,,
Juniper,1,>1 family,2 parents,,,,,2012-2013,,
Juniper,2,>1 family,2 parents,,,,,2012-2013,,
Mango,5,>1 family,1 parent,Yes,,,,2012-2013,,
Maple,K,>1 family,1 parent/another adult,,,,,2012-2013,,
N. Tamarind,5,>1 family,1 parent,,,,,2012-2013,,
N. Tamarind,3,>1 family,1 parent,,,,,2012-2013,,
Oak Park,2,>1 family,1 parent,,,,,2012-2013,,
Oak Park,K,>1 family,2 parents,Yes,,,,2012-2013,,
R. Pepper,K,>1 family,1 parent,,,,,2012-2013,,
R. Pepper,2,>1 family,1 parent,,,,,2012-2013,,
R. Pepper,K,>1 family,1 parent,,,,,2012-2013,,
Shadow Hills,2,>1 family,1 parent,,,,,2012-2013,,
Sierra Lakes,1,temp. family/friends,2 parents,,,,,2012-2013,,
Sierra Lakes,4,temp. family/friends,2 parents,,,,,2012-2013,,
W. Randall,K,>1 family,1 parent,,,,,2012-2013,,
Palmetto,2,>1 family,1 parent,,,,,2012-2013,,
Citrus,3,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Citrus,K,>1 family,1 parent/another adult,,,,,2012-2013,,
R. Pepper,3,>1 family,1 parent,,,,,2012-2013,,
Juniper,3,temp. family/friends,1 parent,,,,,2012-2013,,
Oleander,5,temp. family/friends,1 parent,,,,,2012-2013,,
Almeria,7,temp. family/friends,1 parent,,,,,2012-2013,,
Grant,K,temp. family/friends,2 parents,,,,,2012-2013,,
Jurupa Hills,9,>1 family,1 parent,Yes,,,,2012-2013,,
Truman,6,>1 family,1 parent,Yes,X,,,2012-2013,,
Kaiser,10,>1 family,1 parent,,,,,2012-2013,,
Jurupa Hills,10,>1 family,1 parent/another adult,,,,,2012-2013,,
Almond,2,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Kaiser,9,>1 family,1 parent,,,,,2012-2013,,
Almeria,1,>1 family,2 parents,,,,,2012-2013,,
S. Tamarind,5,>1 family,2 parents,Yes,,,,2012-2013,,
S. Tamarind,1,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Southridge,8,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Redwood,1,temp. family/friends,2 parents,,,,,2012-2013,,
Summit,12,>1 family,1 parent,,,,,2012-2013,,
W. Randall,3,temp. family/friends,2 parents,Yes,,,,2012-2013,,
W. Randall,6,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Canyon Crest,5,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Summit,11,>1 family,1 parent,,,,,2012-2013,,
Fohi,9,>1 family,1 parent,,,,,2012-2013,,
Beech,4,>1 family,1 parent,Yes,,,,2012-2013,,
Miller,11,>1 family,1 parent,Yes,,,,2012-2013,,
Porter,3,>1 family,1 parent,Yes,,,,2012-2013,,
Miller,9,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Kaiser,12,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Southridge,6,temp. family/friends,2 parents,,,,,2012-2013,,
Oak Park,K,temp. family/friends,2 parents,,,,,2012-2013,,
Oak Park,3,temp. family/friends,2 parents,,,,,2012-2013,,
Citrus,K,>1 family,1 parent,,,,,2012-2013,,
Poplar,1,>1 family,1 parent,Yes,,,,2012-2013,,
Juniper,4,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Juniper,1,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Ruble,7,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Jurupa Hills,11,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Alder,8,>1 family,1 parent,,,,,2012-2013,,
Primrose,5,>1 family,1 parent,,,,,2012-2013,,
Oleander,4,temp. family/friends,1 parent,,,,,2012-2013,,
Fohi,12,motel/hotel,1 parent,,,"B, C, S",,2012-2013,,
Fontana MS,6,motel/hotel,1 parent,,X,,,2012-2013,,
Oleander,2,motel/hotel,1 parent,,,,,2012-2013,,
Jurupa Hills,9,>1 family,1 parent,Yes,,,,2012-2013,,
Locust,K,temp. family/friends,1 parent,,,,,2012-2013,,
Porter,TK,>1 family,1 parent,,,,,2012-2013,,
Porter,3,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,1,>1 family,2 parents,Yes,,,,2012-2013,,
Porter,K,>1 family,2 parents,Yes,,,,2012-2013,,
Porter,K,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,K,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,K,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,TK,foster child,2 parents,,,,,2012-2013,,
Porter,K,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Porter,2,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Porter,2,>1 family,2 parents,,,,,2012-2013,,
Porter,2,>1 family,2 parents,Yes,,,,2012-2013,,
Porter,2,>1 family,1 parent/another adult,,,,,2012-2013,,
Porter,2,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,2,>1 family,2 parents,,,,,2012-2013,,
Porter,2,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,4,temp. family/friends,1 parent,,,,,2012-2013,,
Porter,5,>1 family,2 parents,Yes,,,,2012-2013,,
Porter,4,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,4,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,4,>1 family,1 parent,,,,,2012-2013,,
Porter,3,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,K,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,4,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,4,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,4,Other,2 parents,,,,,2012-2013,,
Porter,4,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,5,>1 family,1 parent,,,,,2012-2013,,
Porter,5,"car, park, campsite",1 parent,Yes,X,,,2012-2013,,
Porter,5,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,TK,>1 family,2 parents,,,,,2012-2013,,
Porter,TK,>1 family,2 parents,,,,,2012-2013,,
Porter,5,Other,2 parents,Yes,,,,2012-2013,,
Porter,TK,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Porter,K,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Porter,K,foster child,2 parents,,,,,2012-2013,,
Porter,1,>1 family,2 parents,Yes,,,,2012-2013,,
Southridge,8,>1 family,2 parents,Yes,,,,2012-2013,,
Oleander,3,temp. family/friends,1 parent,,,,,2012-2013,,
Almeria,7,temp. family/friends,1 parent,,,,,2012-2013,,
Oleander,K,temp. family/friends,1 parent,,,,,2012-2013,,
Primrose,1,temp. family/friends,2 parents,Yes,,,,2012-2013,,
W. Randall,K,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Hemlock,2,>1 family,2 parents,Yes,,,,2012-2013,,
Almeria,8,>1 family,2 parents,Yes,,,,2012-2013,,
Hemlock,1,>1 family,2 parents,Yes,,,,2012-2013,,
Hemlock,3,>1 family,2 parents,Yes,,,,2012-2013,,
Hemlock,4,>1 family,2 parents,Yes,,,,2012-2013,,
S. Tamarind,1,>1 family,2 parents,,,,,2012-2013,,
Miller,11,>1 family,2 parents,Yes,,,,2012-2013,,
Redwood,K,>1 family,1 parent/another adult,,,,,2012-2013,,
Palmetto,4,>1 family,1 parent,Yes,,,,2012-2013,,
Palmetto,3,>1 family,1 parent,,,,,2012-2013,,
Locust,K,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Jurupa Hills,9,>1 family,1 parent,,,,,2012-2013,,
Locust,2,>1 family,1 parent,,,,,2012-2013,,
Porter,3,temp. family/friends,1 parent,,,,,2012-2013,,
Porter,K,other,2 parents,,,,,2012-2013,,
Porter,1,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,3,>1 family,2 parents,,,,,2012-2013,,
Porter,3,>1 family,2 parents,,,,,2012-2013,,
Porter,3,temp. family/friends,2 parents,,,,,2012-2013,,
Porter,TK,>1 family,1 parent,,,,,2012-2013,,
Porter,1,other,2 parents,,,,,2012-2013,,
Porter,1,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,3,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,3,>1 family,1 parent/another adult,,,,,2012-2013,,
Porter,K,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,K,>1 family,2 parents,,,,,2012-2013,,
Porter,K,temp. family/friends,2 parents,,,,,2012-2013,,
Porter,4,"car, park, campsite",1 parent/another adult,,x,,,2012-2013,,
Porter,4,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,4,"car, park, campsite",1 parent,,,,,2012-2013,,
Porter,4,temp. family/friends,1 parent,,,,,2012-2013,,
Porter,4,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,4,>1 family,2 parents,,,,,2012-2013,,
Porter,4,other-rent room,2 parents,,,,,2012-2013,,
Porter,4,>1 family,1 parent,,,,,2012-2013,,
Porter,K,>1 family,1 parent,,,,,2012-2013,,
Porter,4,other,2 parents,,,,,2012-2013,,
Porter,5,>1 family,2 parents,,x,,,2012-2013,,
Porter,5,temp. family/friends,2 parents,,,,,2012-2013,,
Porter,5,>1 family,1 parent,,,,,2012-2013,,
Porter,TK,>1 family,2 parents,,,,,2012-2013,,
Porter,TK,>1 family,2 parents,,,,,2012-2013,,
Porter,3,>1 family,2 parents,,,,,2012-2013,,
Porter,5,>1 family,2 parents,,,,,2012-2013,,
Porter,2,"car, park, campsite",2 parents,,x,,,2012-2013,,
Porter,1,>1 family,2 parents,,,,,2012-2013,,
Porter,3,>1 family,2 parents,,,,,2012-2013,,
Locust,2,>1 family,1 parent,,,,,2012-2013,,
Locust,1,temp. family/friends,1 parent,,,,,2012-2013,,
Jurupa Hills,10,>1 family,2 parents,,x,,,2012-2013,,
Tokay,1,>1 family,1 parent,,,,,2012-2013,,
Tokay,2,temp. family/friends,1 parent,,,,,2012-2013,,
Tokay,1,>1 family,1 parent,,,,,2012-2013,,
Tokay,1,temp. family/friends,2 parents,,,,,2012-2013,,
Fontana MS,6,motel/hotel,1 parent,,,,,2012-2013,,
Truman,8,>1 family,1 parent/another adult,,,,,2012-2013,,
Locust,3,temp. family/friends,1 parent,,,,,2012-2013,,
Sequoia,8,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Date,1,>1 family,2 parents,,,,,2012-2013,,
Date,4,>1 family,2 parents,,,,,2012-2013,,
Poplar,2,>1 family,1 parent/another adult,,,,,2012-2013,,
Alder,7,>1 family,1 parent,,,,,2012-2013,,
Shadow Hills,TK,>1 family,1 parent/another adult,,,,,2012-2013,,
Cypress,K,>1 family,1 parent,,,,,2012-2013,,
Cypress,1,>1 family,1 parent,,,,,2012-2013,,
Fohi,11,>1 family,1 parent,,,,,2012-2013,,
Fohi,9,>1 family,1 parent,,,,,2012-2013,,
Oleander,K,temp. family/friends,1 parent,,,,,2012-2013,,
Summit,10,temp. family/friends,1 parent,,,,,2012-2013,,
Summit,10,>1 family,1 parent/another adult,,,,,2012-2013,,
Fohi,10,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Fohi,11,>1 family,2 parents,,,,,2012-2013,,
Kaiser,10,>1 family,relative/friend/other adult,,,,,2012-2013,,
Maple,1,temp. family/friends,1 parent,,,,,2012-2013,,
Grant,K,>1 family,1 parent,,,,,2012-2013,,
Palmetto,1,>1 family,1 parent,,,,,2012-2013,,
Palmetto,3,>1 family,1 parent,,,,,2012-2013,,
Poplar,1,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Jurupa Hills,11,>1 family,1 parent,,,,,2012-2013,,
Citrus,2,temp. family/friends,1 parent,,,,,2012-2013,,
Grant,2,>1 family,1 parent/another adult,,,,,2012-2013,,
Porter,1,>1 family,2 parents,,,,,2012-2013,,
Porter,1,>1 family,1 parent/another adult,,,,,2012-2013,,
Porter,1,>1 family,1 parent,,,,,2012-2013,,
Porter,1,>1 family,2 parents,,,,,2012-2013,,
Jurupa Hills,9,shelter/transitional housing,1 parent,,,,,2012-2013,,
Jurupa Hills,11,shelter/transitional housing,1 parent,,,,,2012-2013,,
Jurupa Hills,12,shelter/transitional housing,1 parent,,,,,2012-2013,,
Jurupa Hills,9,>1 family,1 parent/another adult,,,,,2012-2013,,
Porter,1,"car, park, campsite",2 parents,,,,,2012-2013,,
Porter,1,temp. family/friends,2 parents,,,,,2012-2013,,
Locust,1,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Date,5,temp. family/friends,1 parent,,,,,2012-2013,,
Fohi,10,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Oleander,K,temp. family/friends,2 parents,,,,,2012-2013,,
Ruble,8,temp. family/friends,2 parents,,,,,2012-2013,,
Date,K,>1 family,2 parents,,,,,2012-2013,,
Citrus,K,temp. family/friends,1 parent,,,,,2012-2013,,
Fohi,11,temp. family/friends,1 parent,,,,,2012-2013,,
Alder,7,>1 family,1 parent/another adult,,,,,2012-2013,,
Fohi,10,temp. family/friends,2 parents,,x,,,2012-2013,,
Cypress,1,>1 family,1 parent,,,,,2012-2013,,
Ruble,6,temp. family/friends,2 parents,,x,,,2012-2013,,
Shadow Hills,1,>1 family,1 parent,,,,,2012-2013,,
Shadow Hills,2,>1 family,1 parent,,,,,2012-2013,,
R. Pepper,K,>1 family,2 parents,,,,,2012-2013,,
Kaiser,10,>1 family,2 parents,,,,,2012-2013,,
Alder,8,>1 family,1 parent,,,,,2012-2013,,
Almeria,6,>1 family,1 parent,,,,,2012-2013,,
Locust,2,>1 family,1 parent,,,,,2012-2013,,
W. Randall,4,>1 family,2 parents,,,,,2012-2013,,
W. Randall,K,>1 family,2 parents,,,,,2012-2013,,
Mango,K,temp. family/friends,2 parents,,,,,2012-2013,,
Jurupa Hills,9,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Oleander,K,temp. family/friends,1 parent,,,,,2012-2013,,
Jurupa Hills,10,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Redwood,6,temp. family/friends,1 parent,,,,,2012-2013,,
Locust,2,>1 family,1 parent,,,,,2012-2013,,
N. Tamarind,4,>1 family,1 parent,,,,,2012-2013,,
N. Tamarind,K,>1 family,1 parent,,,,,2012-2013,,
Miller,9,temp. family/friends,1 parent,,,,,2012-2013,,
CHS,11,motel/hotel,1 parent,,,,,2012-2013,,
Truman,8,>1 family,1 parent,,,,,2012-2013,,
Alder,6,>1 family,1 parent,,,,,2012-2013,,
Alder,7,>1 family,1 parent,,,,,2012-2013,,
Poplar,1,temp. family/friends,1 parent,,,,,2012-2013,,
Citrus,4,temp. family/friends,2 parents,,,,,2012-2013,,
Citrus,3,temp. family/friends,2 parents,,,,,2012-2013,,
Primrose,K,temp. family/friends,1 parent,,,,,2012-2013,,
Juniper,5,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Ruble,6,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Miller,9,>1 family,2 parents,,,,,2012-2013,,
Primrose,5,>1 family,2 parents,,x,,,2012-2013,,
Truman,8,temp. family/friends,1 parent,,,,,2012-2013,,
Miller,10,group home,relative/friend/other adult,,x,,,2012-2013,,
Alder,8,>1 family,relative/friend/other adult,,,,,2012-2013,,
Fohi,10,>1 family,2 parents,,,,,2012-2013,,
Alder,7,>1 family,1 parent,,,,,2012-2013,,
Live Oak,2,temp. family/friends,2 parents,,,,,2012-2013,,
Southridge,7,temp. family/friends,1 parent,,,,,2012-2013,,
Southridge,8,foster child,2 parents,,x,,,2012-2013,,
Sierra Lakes,4,motel/hotel,1 parent,,,,,2012-2013,,
Palmetto,5,temp. family/friends,1 parent,,,,,2012-2013,,
Primrose,4,temp. family/friends,1 parent,,,,,2012-2013,,
Locust,2,>1 family,1 parent/another adult,,,,,2012-2013,,
Miller,10,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Date,K,>1 family,1 parent,,,,,2012-2013,,
Oak Park,3,temp. family/friends,1 parent,,,,,2012-2013,,
Summit,11,>1 family,relative/friend/other adult,,,,,2012-2013,,
N. Tamarind,K,>1 family,2 parents,,,,,2012-2013,,
Oleander,2,>1 family,1 parent/another adult,,,,,2012-2013,,
Almeria,6,temp. family/friends,1 parent,,,,,2012-2013,,
Summit,9,temp. family/friends,1 parent,,,,,2012-2013,,
Hemlock,3,foster child,2 parents,,,,,2012-2013,,
Summit,9,foster child,2 parents,,,,,2012-2013,,
Sequoia,7,temp. family/friends,2 parents,,,,,2012-2013,,
W. Randall,6,temp. family/friends,2 parents,,,,,2012-2013,,
Southridge,6,>1 family,1 parent,,,,,2012-2013,,
Maple,4,>1 family,2 parents,,,,,2012-2013,,
Maple,5,>1 family,2 parents,,,,,2012-2013,,
Kaiser,11,temp. family/friends,1 parent,,,,,2012-2013,,
Southridge,6,temp. family/friends,1 parent,,,,,2012-2013,,
Summit,12,>1 family,1 parent,,,"BP,SS,S",,2012-2013,,
CHS,12,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Canyon Crest,5,>1 family,1 parent,,,,,2012-2013,,
Live Oak,2,temp. family/friends,1 parent,,,,,2012-2013,,
Almeria,8,>1 family,1 parent,,x,"BP, SS",,2012-2013,,
Beech,2,>1 family,1 parent,,,,,2012-2013,,
Kaiser,9,temp. family/friends,1 parent,,x,,,2012-2013,,
Juniper,EC,temp. family/friends,2 parents,,,AGE: 4,,2012-2013,,
Alder,7,>1 family,1 parent,,,,,2012-2013,,
Palmetto,K,temp. family/friends,2 parents,,,,,2012-2013,,
Summit,10,temp. family/friends,2 parents,,,,,2012-2013,,
Jurupa Hills,11,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Summit,9,>1 family,1 parent,,,,,2012-2013,,
Summit,10,temp. family/friends,1 parent,,,"BP,SS",,2012-2013,,
Fontana MS,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent/another adult,,x,,,2012-2013,,
Hemlock,4,>1 family,1 parent/another adult,,,,,2012-2013,,
Grant,4,>1 family,1 parent,,,,,2012-2013,,
Almeria,7,>1 family,1 parent,,,,,2012-2013,,
Porter,3,temp. family/friends,1 parent,,,,,2012-2013,,
Almeria,8,motel/hotel,1 parent,,,,,2012-2013,,
Redwood,5,motel/hotel,1 parent,,,,,2012-2013,,
Redwood,6,motel/hotel,1 parent,,,,,2012-2013,,
Chaparral,EC,>1 family,2 parents,,,AGE: 4,,2012-2013,,
Chaparral,1,>1 family,1 parent,,,,,2012-2013,,
Chaparral,K,>1 family,1 parent,,,,,2012-2013,,
Date,3,>1 family,1 parent,,,,,2012-2013,,
Grant,TK,temp. family/friends,2 parents,,,,,2012-2013,,
Southridge,5,>1 family,2 parents,,,,,2012-2013,,
Oleander,2,>1 family,relative/friend/other adult,,,,,2012-2013,,
Binks,2,>1 family,1 parent,,,,,2012-2013,,
Southridge,8,temp. family/friends,2 parents,,,,,2012-2013,,
Truman,8,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
S. Tamarind,1,>1 family,1 parent,,,,,2012-2013,,
Jurupa Hills,10,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Sequoia,7,foster child,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,1 parent,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
S. Tamarind,K,temp. family/friends,1 parent,,,,,2012-2013,,
Southridge,8,>1 family,1 parent,,,,,2012-2013,,
Southridge,6,>1 family,2 parents,,,,,2012-2013,,
Chaparral,3,>1 family,2 parents,,,,,2012-2013,,
Redwood,1,temp. family/friends,1 parent,,,,,2012-2013,,
Truman,6,>1 family,1 parent,,,,,2012-2013,,
Jurupa Hills,10,>1 family,1 parent,,,,,2012-2013,,
Sequoia,7,temp. family/friends,1 parent,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,other,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,1 parent/another adult,,,,,2012-2013,,
Sequoia,8,other,2 parents,,,,,2012-2013,,
Sequoia,7,other,1 parent,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,1 parent,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,x,,,2012-2013,,
Sequoia,8,temp. family/friends,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,"car, park, campsite",2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,,,,,2012-2013,,
Sequoia,7,temp. family/friends,1 parent,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Jurupa Hills,10,>1 family,1 parent,,,,,2012-2013,,
Ruble,7,>1 family,2 parents,,,,,2012-2013,,
Miller,11,>1 family,1 parent/another adult,,x,,,2012-2013,,
Palmetto,K,>1 family,2 parents,,,,,2012-2013,,
Primrose,1,temp. family/friends,1 parent,,,,,2012-2013,,
Jurupa Hills,10,temp. family/friends,relative/friend/other adult,,x,,,2012-2013,,
Date,4,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Date,5,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Cypress,1,foster child,2 parents,,,,,2012-2013,,
Oak Park,K,>1 family,2 parents,,,,,2012-2013,,
Ruble,8,temp. family/friends,1 parent,,,,,2012-2013,,
Fohi,11,>1 family,relative/friend/other adult,,,,,2012-2013,,
W. Randall,2,>1 family,1 parent,,,,,2012-2013,,
Miller,9,>1 family,2 parents,,,,,2012-2013,,
Miller,9,>1 family,2 parents,,x,,,2012-2013,,
Palmetto,1,temp. family/friends,1 parent,,,,,2012-2013,,
Date,TK,temp. family/friends,1 parent,,,,,2012-2013,,
Sierra Lakes,5,>1 family,2 parents,,,,,2012-2013,,
N. Tamarind,EC,temp. family/friends,2 parents,,,AGE: 3,,2012-2013,,
Fohi,9,>1 family,1 parent/another adult,,x,,,2012-2013,,
Locust,4,temp. family/friends,2 parents,,x,,,2012-2013,,
Fohi,12,>1 family,relative/friend/other adult,,,,,2012-2013,,
Live Oak,K,foster child,2 parents,,,,,2012-2013,,
S. Tamarind,K,>1 family,1 parent/another adult,,,,,2012-2013,,
Date,5,>1 family,1 parent,,,,,2012-2013,,
S. Tamarind,2,temp. family/friends,2 parents,,,,,2012-2013,,
Oleander,1,motel/hotel,2 parents,,,,,2012-2013,,
Fontana MS,6,>1 family,1 parent,,,,,2012-2013,,
Date,3,>1 family,1 parent,,,,,2012-2013,,
Date,K,>1 family,1 parent,,,,,2012-2013,,
R. Pepper,EC,>1 family,1 parent,,,AGE: 4,,2012-2013,,
Miller,9,>1 family,1 parent,,,,,2012-2013,,
Citrus,K,>1 family,2 parents,,,,,2012-2013,,
Palmetto,2,temp. family/friends,1 parent,,,,,2012-2013,,
Redwood,1,>1 family,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,1 parent,,,,,2012-2013,,
Palmetto,4,>1 family,1 parent,,,,,2012-2013,,
Primrose,1,foster child,relative/friend/other adult,,,,,2012-2013,,
Citrus,1,>1 family,1 parent/another adult,,x,,,2012-2013,,
Sequoia,8,>1 family,1 parent/another adult,,x,,,2012-2013,,
Oleander,2,>1 family,1 parent,,,,,2012-2013,,
Fohi,9,>1 family,1 parent,,,,,2012-2013,,
Palmetto,1,>1 family,2 parents,,,,,2012-2013,,
Hemlock,3,temp. family/friends,1 parent,,,,,2012-2013,,
Southridge,8,>1 family,2 parents,,,,,2012-2013,,
Southridge,7,>1 family,2 parents,,,,,2012-2013,,
Alder,7,>1 family,2 parents,,,,,2012-2013,,
