id,furn_type,address,permit_issued,installed,lat,lon
845,Shelter ,8707 Venice Bl WB Venice Bl FS Cattaraugus Ave,Yes,,34.0328021,-118.3828017
846,Shelter ,3000 Olympic Bl  SB Normandie Ave FS Olympic,Yes,,34.0523252,-118.3003129
847,Shelter ,2940 W. Olympic Bl  EB Olympic Bl NS Fedora St.,Yes,,34.0523646,-118.2982076
848,Shelter ,10006 Palms EB Palms Blvd. NS Exposition Blvd,Yes,,34.0287032,-118.4035833
849,Shelter ,10375 Washington Bl NB Motor Ave. FS Washington Bl,Yes ,Yes,34.0191013,-118.4023929
850,Shelter ,9345 Venice Bl WB Venice Bl NS Bagley Ave.,Yes,,34.0258317,-118.3951743
851,Shelter ,8888 Venice Bl EB Venice Bl FS Nat'l Bl,Yes ,Yes,34.029298,-118.3877085
852,Shelter ,1600 S Main St EB Venice Bl/16th St FS Main St.,Yes ,Yes,34.033284,-118.262368
853,Shelter ,EB Venice Bl NS Robertson Bl,Yes ,Yes,34.028214,-118.3901892
854,Shelter ,10419 Venice Bl WB Venice Bl  FS Motor Ave.,Yes ,Yes,34.0206923,-118.4042996
855,Shelter ,8951 Venice Bl WB Venice Bl NS Robertson Bl,Yes ,Yes,34.028615,-118.390213
856,Shelter ,3250 W. Olypmic Bl  NB Western Ave. NS Olympic Bl,Yes,,34.0521678,-118.3082091
857,Shelter ,EB Venice Bl. FS Cadillac,Yes,,34.0373879,-118.373983
858,Shelter ,5898 Venice Bl. EB Venice FS Fairfax,Yes ,Yes,34.0398012,-118.3690444
859,Shelter ,5899 W. Venice Blvd.  NB Fairfax FS Venice,Yes ,Yes,34.040677,-118.369419
860,Shelter ,SB Fairfax FS Venice,Yes ,Yes,34.0398204,-118.3696861
861,Shelter ,1430 Fairfax Ave. EB Pico Bl FS Fairfax Ave.,Yes ,Yes,34.0514533,-118.3685456
862,Shelter ,5871 W Pico Blvd WB Pico Blvd FS Fairfax Ave,Yes,,34.0518902,-118.3671618
863,Shelter ,5853 W. Pico Blvd.  NB Fairfax FS Pico,Yes ,Yes,34.0514902,-118.3664672
864,Shelter ,5869 W. Pico Blvd.  SB Fairfax FS Pico,Yes,,34.0515251,-118.3666504
865,Shelter ,5420 Venice Bl  EB Venice Bl FS Hauser Bl,Yes,,34.0437712,-118.3583279
866,Shelter ,4934 W Pico NB La Brea NS Pico Bl.,Yes ,Yes,34.0475748,-118.3441789
867,Shelter ,2958 S. Robertson Blvd. NB Robertson Bl FS Kincardine Ave,Yes ,Yes,34.032955,-118.389077
868,Shelter ,8905 Venice Bl SB National Bl NS Venice Bl,Yes,,34.0292911,-118.3893179
869,Shelter ,6041 Cadillac Ave  WB Venice Bl NS Cadillac Ave.,Yes,,34.0383466,-118.3759001
870,Shelter ,2060 S. La Cienega.  WB Cadillac Ave NS La Cienega Bl.,Yes,,34.0383632,-118.3768398
871,Shelter ,1804 La Cienega Bl  NB La Cienega NS 18th St.,Yes,,34.0442126,-118.3764043
872,Shelter ,1907 La Cienega Bl  SB La Cienega Bl FS Sawyer,Yes ,Yes,34.0421423,-118.3767216
873,Shelter ,1301 S La Brea SB La Brea Ave. FS San Vicente Bl,Yes ,Yes,34.0498429,-118.3444614
874,Shelter ,5517 San Vicente Bl WB San Vicente Bl  NS Hauser Bl,Yes,,34.0543294,-118.3544525
875,Shelter ,5604 W San Vicente Blvd EB San Vicente Blvd NS Hauser Blvd,Yes,,34.0551924,-118.3575523
876,Shelter ,1938 Hauser Bl  WB Washington Bl NS Hauser Bl,Yes ,Yes,34.0395588,-118.3600338
877,Shelter ,5164 W Washington EB Washington Bl NS Redondo Bl,Yes ,Yes,34.0410653,-118.3533206
878,Shelter ,5300 W Washingot EB Washington Bl NS Burnside Ave.,Yes ,Yes,34.039994,-118.357982
879,Shelter ,5635 Washington Bl  WB Washington Bl NS Thurman Ave.,Yes,,34.0360204,-118.3666856
880,Shelter ,2311 S Fairfax Ave WB Apple Street FS Fairfax Ave,Yes,,34.0374011,-118.3692651
881,Shelter ,SB Fairfax FS Apple St.,Yes ,Yes,NA,NA
882,Shelter ,WB Washington Bl NS Fairfax Ave.,Yes ,Yes,34.0343219,-118.369899
883,Shelter ,4707 Venice Bl  WB Venice Bl NS Rimpau Bl,Yes,,34.047346,-118.3393686
884,Shelter ,1800 S Robertson Bl NB Robertson NS 18th St,Yes,,34.0464368,-118.3858741
885,Shelter ,1716 S. La Cienega Bl  NB La Cienega Bl NS Airdrome St.,Yes ,Yes,34.0466635,-118.3759438
886,Shelter ,1250 S La Brea NB La Brea NS Dockweiler St.,Yes,,34.0517115,-118.3439351
