LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
GLENDALE,2550113A,956,46,N,1115,TOTAL,263,10,163,39
GLENDALE,2550116A,957,46,N,1225,POLLING PLACE,146,5,102,21
GLENDALE,2550116A,957,46,N,0,VBM PORTION,160,12,104,26
GLENDALE,2550116A,957,46,N,1225,TOTAL,306,17,206,47
GLENDALE,2550117A,958,46,N,1303,POLLING PLACE,85,5,35,6
GLENDALE,2550117A,958,46,N,0,VBM PORTION,169,2,95,12
GLENDALE,2550117A,958,46,N,1303,TOTAL,254,7,130,18
GLENDALE,2550118A,959,46,N,1221,POLLING PLACE,81,2,48,9
GLENDALE,2550118A,959,46,N,0,VBM PORTION,131,3,85,6
GLENDALE,2550118A,959,46,N,1221,TOTAL,212,5,133,15
GLENDALE,2550119A,960,46,N,1380,POLLING PLACE,92,8,52,10
GLENDALE,2550119A,960,46,N,0,VBM PORTION,180,7,122,8
GLENDALE,2550119A,960,46,N,1380,TOTAL,272,15,174,18
GLENDALE,2550120A,961,46,N,1326,POLLING PLACE,61,4,44,8
GLENDALE,2550120A,961,46,N,0,VBM PORTION,156,4,94,21
GLENDALE,2550120A,961,46,N,1326,TOTAL,217,8,138,29
GLENDALE,2550120B,962,46,N,1274,POLLING PLACE,86,8,58,7
GLENDALE,2550120B,962,46,N,0,VBM PORTION,83,2,56,6
GLENDALE,2550120B,962,46,N,1274,TOTAL,169,10,114,13
GLENDALE,2550121A,963,46,N,1251,POLLING PLACE,84,3,41,11
GLENDALE,2550121A,963,46,N,0,VBM PORTION,159,3,87,6
GLENDALE,2550121A,963,46,N,1251,TOTAL,243,6,128,17
GLENDALE,2550123A,964,46,N,1212,POLLING PLACE,99,2,67,11
GLENDALE,2550123A,964,46,N,0,VBM PORTION,163,11,106,11
GLENDALE,2550123A,964,46,N,1212,TOTAL,262,13,173,22
GLENDALE,2550125A,965,46,N,1376,POLLING PLACE,88,4,53,13
GLENDALE,2550125A,965,46,N,0,VBM PORTION,315,5,148,10
GLENDALE,2550125A,965,46,N,1376,TOTAL,403,9,201,23
GLENDALE,2550131A,966,46,N,1181,POLLING PLACE,72,5,32,11
GLENDALE,2550131A,966,46,N,0,VBM PORTION,121,6,72,6
GLENDALE,2550131A,966,46,N,1181,TOTAL,193,11,104,17
GLENDALE,2550135A,967,46,N,1315,POLLING PLACE,122,9,78,13
GLENDALE,2550135A,967,46,N,0,VBM PORTION,190,5,127,14
GLENDALE,2550135A,967,46,N,1315,TOTAL,312,14,205,27
GLENDALE,2550140A,968,46,N,1241,POLLING PLACE,85,4,52,10
GLENDALE,2550140A,968,46,N,0,VBM PORTION,157,4,111,9
GLENDALE,2550140A,968,46,N,1241,TOTAL,242,8,163,19
GLENDALE,2550142A,969,46,N,883,POLLING PLACE,69,8,40,8
GLENDALE,2550142A,969,46,N,0,VBM PORTION,143,4,75,9
GLENDALE,2550142A,969,46,N,883,TOTAL,212,12,115,17
GLENDALE,2550143A,970,46,N,916,POLLING PLACE,116,3,74,23
GLENDALE,2550143A,970,46,N,0,VBM PORTION,99,8,53,20
GLENDALE,2550143A,970,46,N,916,TOTAL,215,11,127,43
GLENDALE,2550147A,971,46,N,673,POLLING PLACE,132,8,72,24
GLENDALE,2550147A,971,46,N,0,VBM PORTION,69,2,47,11
GLENDALE,2550147A,971,46,N,673,TOTAL,201,10,119,35
GLENDALE,2550149A,972,46,N,772,POLLING PLACE,139,6,82,28
GLENDALE,2550149A,972,46,N,0,VBM PORTION,115,5,71,23
GLENDALE,2550149A,972,46,N,772,TOTAL,254,11,153,51
GLENDALE,2550150A,973,46,N,935,POLLING PLACE,113,6,67,21
GLENDALE,2550150A,973,46,N,0,VBM PORTION,120,6,80,14
GLENDALE,2550150A,973,46,N,935,TOTAL,233,12,147,35
GLENDALE,2550151A,974,46,N,754,POLLING PLACE,165,5,110,24
GLENDALE,2550151A,974,46,N,0,VBM PORTION,114,4,71,21
GLENDALE,2550151A,974,46,N,754,TOTAL,279,9,181,45
GLENDALE,2550157A,975,46,N,655,POLLING PLACE,59,4,35,9
