LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
LOS ANGELES,9000888A,3461,141,N,566,TOTAL,78,43,15,10
LOS ANGELES,9000908A,3470,116,N,1051,POLLING PLACE,85,56,1,8
LOS ANGELES,9000908A,3470,116,N,0,VBM PORTION,86,68,4,4
LOS ANGELES,9000908A,3470,116,N,1051,TOTAL,171,124,5,12
LOS ANGELES,9000944A,3483,116,N,1255,POLLING PLACE,118,81,22,9
LOS ANGELES,9000944A,3483,116,N,0,VBM PORTION,73,53,9,2
LOS ANGELES,9000944A,3483,116,N,1255,TOTAL,191,134,31,11
LOS ANGELES,9000945B,3484,116,N,1081,POLLING PLACE,87,65,1,2
LOS ANGELES,9000945B,3484,116,N,0,VBM PORTION,61,49,0,3
LOS ANGELES,9000945B,3484,116,N,1081,TOTAL,148,114,1,5
LOS ANGELES,9000948A,3487,116,N,1111,POLLING PLACE,199,166,5,5
LOS ANGELES,9000948A,3487,116,N,0,VBM PORTION,132,116,6,2
LOS ANGELES,9000948A,3487,116,N,1111,TOTAL,331,282,11,7
LOS ANGELES,9001000A,3508,107,N,761,POLLING PLACE,70,40,5,8
LOS ANGELES,9001000A,3508,107,N,0,VBM PORTION,51,32,4,6
LOS ANGELES,9001000A,3508,107,N,761,TOTAL,121,72,9,14
LOS ANGELES,9001000C,3509,107,N,683,POLLING PLACE,33,20,5,3
LOS ANGELES,9001000C,3509,107,N,0,VBM PORTION,23,19,0,3
LOS ANGELES,9001000C,3509,107,N,683,TOTAL,56,39,5,6
LOS ANGELES,9001024A,3523,148,N,940,POLLING PLACE,70,41,6,14
LOS ANGELES,9001024A,3523,148,N,0,VBM PORTION,15,12,2,1
LOS ANGELES,9001024A,3523,148,N,940,TOTAL,85,53,8,15
LOS ANGELES,9001026C,3524,148,N,1025,POLLING PLACE,58,37,1,12
