LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUSAN SHELLEY,MATT DABABNEH
LOS ANGELES,9001019B,3519,56,N,668,POLLING PLACE,83,38,38
LOS ANGELES,9001019B,3519,56,N,0,VBM PORTION,92,33,51
LOS ANGELES,9001019B,3519,56,N,668,TOTAL,175,71,89
LOS ANGELES,9001021A,3520,56,N,877,POLLING PLACE,92,37,44
LOS ANGELES,9001021A,3520,56,N,0,VBM PORTION,83,38,39
LOS ANGELES,9001021A,3520,56,N,877,TOTAL,175,75,83
LOS ANGELES,9001021B,3521,56,N,553,POLLING PLACE,56,28,28
LOS ANGELES,9001021B,3521,56,N,0,VBM PORTION,69,19,47
LOS ANGELES,9001021B,3521,56,N,553,TOTAL,125,47,75
LOS ANGELES,9001027A,3525,56,N,574,POLLING PLACE,62,25,33
LOS ANGELES,9001027A,3525,56,N,0,VBM PORTION,84,36,40
LOS ANGELES,9001027A,3525,56,N,574,TOTAL,146,61,73
LOS ANGELES,9001036B,3528,56,N,989,POLLING PLACE,125,53,54
LOS ANGELES,9001036B,3528,56,N,0,VBM PORTION,140,70,54
LOS ANGELES,9001036B,3528,56,N,989,TOTAL,265,123,108
LOS ANGELES,9001037A,3529,56,N,776,POLLING PLACE,108,45,46
LOS ANGELES,9001037A,3529,56,N,0,VBM PORTION,89,33,46
LOS ANGELES,9001037A,3529,56,N,776,TOTAL,197,78,92
LOS ANGELES,9001037B,3530,56,N,912,POLLING PLACE,117,57,57
LOS ANGELES,9001037B,3530,56,N,0,VBM PORTION,122,63,38
LOS ANGELES,9001037B,3530,56,N,912,TOTAL,239,120,95
LOS ANGELES,9001039A,3531,56,N,1301,POLLING PLACE,164,62,87
LOS ANGELES,9001039A,3531,56,N,0,VBM PORTION,158,59,93
LOS ANGELES,9001039A,3531,56,N,1301,TOTAL,322,121,180
LOS ANGELES,9001041A,3532,56,N,765,POLLING PLACE,115,35,73
LOS ANGELES,9001041A,3532,56,N,0,VBM PORTION,88,30,50
LOS ANGELES,9001041A,3532,56,N,765,TOTAL,203,65,123
LOS ANGELES,9001044A,3534,56,N,1240,POLLING PLACE,152,70,70
LOS ANGELES,9001044A,3534,56,N,0,VBM PORTION,159,72,69
LOS ANGELES,9001044A,3534,56,N,1240,TOTAL,311,142,139
LOS ANGELES,9001049A,3538,56,N,907,POLLING PLACE,81,40,36
LOS ANGELES,9001049A,3538,56,N,0,VBM PORTION,109,46,57
LOS ANGELES,9001049A,3538,56,N,907,TOTAL,190,86,93
LOS ANGELES,9001060A,3542,56,N,869,POLLING PLACE,107,34,59
LOS ANGELES,9001060A,3542,56,N,0,VBM PORTION,101,38,45
LOS ANGELES,9001060A,3542,56,N,869,TOTAL,208,72,104
LOS ANGELES,9001070A,3548,56,N,839,POLLING PLACE,68,24,37
LOS ANGELES,9001070A,3548,56,N,0,VBM PORTION,109,44,46
LOS ANGELES,9001070A,3548,56,N,839,TOTAL,177,68,83
LOS ANGELES,9001073A,3549,56,N,527,POLLING PLACE,56,7,36
LOS ANGELES,9001073A,3549,56,N,0,VBM PORTION,90,40,47
LOS ANGELES,9001073A,3549,56,N,527,TOTAL,146,47,83
LOS ANGELES,9001073B,3550,56,N,1075,POLLING PLACE,114,36,66
LOS ANGELES,9001073B,3550,56,N,0,VBM PORTION,184,65,97
LOS ANGELES,9001073B,3550,56,N,1075,TOTAL,298,101,163
LOS ANGELES,9001074A,3551,56,N,1025,POLLING PLACE,99,36,49
LOS ANGELES,9001074A,3551,56,N,0,VBM PORTION,156,51,87
LOS ANGELES,9001074A,3551,56,N,1025,TOTAL,255,87,136
LOS ANGELES,9001090A,3558,56,N,1136,POLLING PLACE,92,28,56
LOS ANGELES,9001090A,3558,56,N,0,VBM PORTION,103,32,59
LOS ANGELES,9001090A,3558,56,N,1136,TOTAL,195,60,115
LOS ANGELES,9001091B,3559,56,N,1131,POLLING PLACE,110,46,54
LOS ANGELES,9001091B,3559,56,N,0,VBM PORTION,125,45,63
LOS ANGELES,9001091B,3559,56,N,1131,TOTAL,235,91,117
LOS ANGELES,9001690B,3812,56,N,969,POLLING PLACE,83,36,45
LOS ANGELES,9001690B,3812,56,N,0,VBM PORTION,67,28,33
LOS ANGELES,9001690B,3812,56,N,969,TOTAL,150,64,78
LOS ANGELES,9001695A,3814,56,N,1055,POLLING PLACE,93,38,45
LOS ANGELES,9001695A,3814,56,N,0,VBM PORTION,91,33,48
LOS ANGELES,9001695A,3814,56,N,1055,TOTAL,184,71,93
LOS ANGELES,9001713B,6188,56,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9001713B,6188,56,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9001713B,6188,56,Y,0,TOTAL,0,0,0
LOS ANGELES,9001758A,3841,54,N,1480,POLLING PLACE,113,46,55
LOS ANGELES,9001758A,3841,54,N,0,VBM PORTION,99,41,47
LOS ANGELES,9001758A,3841,54,N,1480,TOTAL,212,87,102
LOS ANGELES,9001808A,3870,56,N,1269,POLLING PLACE,115,57,51
LOS ANGELES,9001808A,3870,56,N,0,VBM PORTION,132,74,51
LOS ANGELES,9001808A,3870,56,N,1269,TOTAL,247,131,102
LOS ANGELES,9001825B,3874,56,N,1322,POLLING PLACE,135,54,66
LOS ANGELES,9001825B,3874,56,N,0,VBM PORTION,129,51,59
