LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
LA VERNE,3400025A,1256,35,N,0,VBM PORTION,55,29
LA VERNE,3400025A,1256,35,N,885,TOTAL,156,79
LA VERNE,3400052A,1257,35,N,944,POLLING PLACE,136,63
LA VERNE,3400052A,1257,35,N,0,VBM PORTION,113,61
LA VERNE,3400052A,1257,35,N,944,TOTAL,249,124
LA VERNE,3400053A,1258,35,N,801,POLLING PLACE,83,44
LA VERNE,3400053A,1258,35,N,0,VBM PORTION,73,40
LA VERNE,3400053A,1258,35,N,801,TOTAL,156,84
LAMANDA,3500010B,6080,33,Y,3,POLLING PLACE,0,0
LAMANDA,3500010B,6080,33,Y,0,VBM PORTION,0,0
LAMANDA,3500010B,6080,33,Y,3,TOTAL,0,0
LAMANDA,3500016A,6081,29,Y,24,POLLING PLACE,0,0
LAMANDA,3500016A,6081,29,Y,0,VBM PORTION,2,0
LAMANDA,3500016A,6081,29,Y,24,TOTAL,2,0
LLANO,3750009A,6086,29,Y,0,POLLING PLACE,0,0
LLANO,3750009A,6086,29,Y,0,VBM PORTION,0,0
LLANO,3750009A,6086,29,Y,0,TOTAL,0,0
MONROVIA,4400001A,1752,35,N,566,POLLING PLACE,55,38
MONROVIA,4400001A,1752,35,N,0,VBM PORTION,44,21
MONROVIA,4400001A,1752,35,N,566,TOTAL,99,59
MONROVIA,4400003A,1753,35,N,951,POLLING PLACE,116,59
MONROVIA,4400003A,1753,35,N,0,VBM PORTION,105,60
MONROVIA,4400003A,1753,35,N,951,TOTAL,221,119
MONROVIA,4400004A,1754,33,N,1142,POLLING PLACE,156,78
MONROVIA,4400004A,1754,33,N,0,VBM PORTION,170,90
MONROVIA,4400004A,1754,33,N,1142,TOTAL,326,168
MONROVIA,4400007A,1755,35,N,925,POLLING PLACE,121,72
MONROVIA,4400007A,1755,35,N,0,VBM PORTION,104,64
MONROVIA,4400007A,1755,35,N,925,TOTAL,225,136
MONROVIA,4400008A,1756,33,N,679,POLLING PLACE,107,52
MONROVIA,4400008A,1756,33,N,0,VBM PORTION,106,56
MONROVIA,4400008A,1756,33,N,679,TOTAL,213,108
MONROVIA,4400009A,1757,35,N,986,POLLING PLACE,136,72
MONROVIA,4400009A,1757,35,N,0,VBM PORTION,112,68
MONROVIA,4400009A,1757,35,N,986,TOTAL,248,140
MONROVIA,4400010A,1758,33,N,816,POLLING PLACE,139,77
MONROVIA,4400010A,1758,33,N,0,VBM PORTION,110,57
MONROVIA,4400010A,1758,33,N,816,TOTAL,249,134
MONROVIA,4400011A,1759,35,N,704,POLLING PLACE,81,44
MONROVIA,4400011A,1759,35,N,0,VBM PORTION,60,41
MONROVIA,4400011A,1759,35,N,704,TOTAL,141,85
MONROVIA,4400013A,1760,35,N,1046,POLLING PLACE,74,47
MONROVIA,4400013A,1760,35,N,0,VBM PORTION,86,54
MONROVIA,4400013A,1760,35,N,1046,TOTAL,160,101
MONROVIA,4400014A,1761,35,N,722,POLLING PLACE,62,35
MONROVIA,4400014A,1761,35,N,0,VBM PORTION,47,31
MONROVIA,4400014A,1761,35,N,722,TOTAL,109,66
MONROVIA,4400015A,1762,35,N,785,POLLING PLACE,58,40
MONROVIA,4400015A,1762,35,N,0,VBM PORTION,59,44
MONROVIA,4400015A,1762,35,N,785,TOTAL,117,84
MONROVIA,4400016A,1763,35,N,1329,POLLING PLACE,83,55
MONROVIA,4400016A,1763,35,N,0,VBM PORTION,98,70
MONROVIA,4400016A,1763,35,N,1329,TOTAL,181,125
MONROVIA,4400017A,1764,35,N,957,POLLING PLACE,59,44
MONROVIA,4400017A,1764,35,N,0,VBM PORTION,58,28
MONROVIA,4400017A,1764,35,N,957,TOTAL,117,72
MONROVIA,4400021A,1765,35,N,815,POLLING PLACE,62,30
MONROVIA,4400021A,1765,35,N,0,VBM PORTION,86,58
MONROVIA,4400021A,1765,35,N,815,TOTAL,148,88
MONROVIA,4400023A,1766,35,N,862,POLLING PLACE,70,43
MONROVIA,4400023A,1766,35,N,0,VBM PORTION,102,50
MONROVIA,4400023A,1766,35,N,862,TOTAL,172,93
MONROVIA,4400024A,6115,33,Y,13,POLLING PLACE,0,0
MONROVIA,4400024A,6115,33,Y,0,VBM PORTION,5,4
MONROVIA,4400024A,6115,33,Y,13,TOTAL,5,4
MONROVIA,4400030A,1767,35,N,992,POLLING PLACE,83,44
MONROVIA,4400030A,1767,35,N,0,VBM PORTION,77,44
MONROVIA,4400030A,1767,35,N,992,TOTAL,160,88
MONROVIA,4400061A,1768,35,N,905,POLLING PLACE,55,28
MONROVIA,4400061A,1768,35,N,0,VBM PORTION,63,40
MONROVIA,4400061A,1768,35,N,905,TOTAL,118,68
MONROVIA,4400063A,1769,35,N,767,POLLING PLACE,39,25
MONROVIA,4400063A,1769,35,N,0,VBM PORTION,47,43
MONROVIA,4400063A,1769,35,N,767,TOTAL,86,68
MONROVIA,4400064A,1770,35,N,976,POLLING PLACE,61,43
MONROVIA,4400064A,1770,35,N,0,VBM PORTION,97,63
MONROVIA,4400064A,1770,35,N,976,TOTAL,158,106
MONROVIA,4400065A,1771,35,N,930,POLLING PLACE,108,68
MONROVIA,4400065A,1771,35,N,0,VBM PORTION,106,67
MONROVIA,4400065A,1771,35,N,930,TOTAL,214,135
MONROVIA,4400066A,1772,35,N,1095,POLLING PLACE,77,57
MONROVIA,4400066A,1772,35,N,0,VBM PORTION,67,45
MONROVIA,4400066A,1772,35,N,1095,TOTAL,144,102
MONROVIA,4400067A,1773,35,N,917,POLLING PLACE,44,21
MONROVIA,4400067A,1773,35,N,0,VBM PORTION,59,48
MONROVIA,4400067A,1773,35,N,917,TOTAL,103,69
PASADENA,5150001A,1981,33,N,710,POLLING PLACE,57,46
PASADENA,5150001A,1981,33,N,0,VBM PORTION,70,39
PASADENA,5150001A,1981,33,N,710,TOTAL,127,85
PASADENA,5150002A,1982,33,N,553,POLLING PLACE,84,66
PASADENA,5150002A,1982,33,N,0,VBM PORTION,74,57
PASADENA,5150002A,1982,33,N,553,TOTAL,158,123
PASADENA,5150004A,1983,34,N,1382,POLLING PLACE,227,139
PASADENA,5150004A,1983,34,N,0,VBM PORTION,238,108
PASADENA,5150004A,1983,34,N,1382,TOTAL,465,247
PASADENA,5150005A,1984,33,N,699,POLLING PLACE,71,61
PASADENA,5150005A,1984,33,N,0,VBM PORTION,77,61
PASADENA,5150005A,1984,33,N,699,TOTAL,148,122
PASADENA,5150006A,1985,33,N,925,POLLING PLACE,72,54
PASADENA,5150006A,1985,33,N,0,VBM PORTION,71,53
PASADENA,5150006A,1985,33,N,925,TOTAL,143,107
PASADENA,5150007A,1986,33,N,1026,POLLING PLACE,59,49
PASADENA,5150007A,1986,33,N,0,VBM PORTION,59,55
PASADENA,5150007A,1986,33,N,1026,TOTAL,118,104
PASADENA,5150008A,1987,33,N,1029,POLLING PLACE,54,38
PASADENA,5150008A,1987,33,N,0,VBM PORTION,34,33
PASADENA,5150008A,1987,33,N,1029,TOTAL,88,71
PASADENA,5150012A,1988,33,N,868,POLLING PLACE,29,21
PASADENA,5150012A,1988,33,N,0,VBM PORTION,23,18
PASADENA,5150012A,1988,33,N,868,TOTAL,52,39
PASADENA,5150014A,1989,34,N,1175,POLLING PLACE,135,57
PASADENA,5150014A,1989,34,N,0,VBM PORTION,225,100
PASADENA,5150014A,1989,34,N,1175,TOTAL,360,157
PASADENA,5150015A,1990,33,N,1464,POLLING PLACE,163,83
PASADENA,5150015A,1990,33,N,0,VBM PORTION,214,119
PASADENA,5150015A,1990,33,N,1464,TOTAL,377,202
PASADENA,5150017B,1991,33,N,580,POLLING PLACE,71,59
PASADENA,5150017B,1991,33,N,0,VBM PORTION,55,42
PASADENA,5150017B,1991,33,N,580,TOTAL,126,101
PASADENA,5150021B,1992,33,N,945,POLLING PLACE,88,64
PASADENA,5150021B,1992,33,N,0,VBM PORTION,78,53
PASADENA,5150021B,1992,33,N,945,TOTAL,166,117
PASADENA,5150025A,1993,33,N,1300,POLLING PLACE,143,118
PASADENA,5150025A,1993,33,N,0,VBM PORTION,103,79
PASADENA,5150025A,1993,33,N,1300,TOTAL,246,197
PASADENA,5150029A,1994,33,N,914,POLLING PLACE,70,49
PASADENA,5150029A,1994,33,N,0,VBM PORTION,45,33
PASADENA,5150029A,1994,33,N,914,TOTAL,115,82
