LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
LOS ANGELES,9000285A,3147,148,N,1226,POLLING PLACE,133,63,7,2,4,7,23,7
LOS ANGELES,9000285A,3147,148,N,0,VBM PORTION,111,38,2,4,11,3,31,6
LOS ANGELES,9000285A,3147,148,N,1226,TOTAL,244,101,9,6,15,10,54,13
LOS ANGELES,9000288A,3149,151,N,1283,POLLING PLACE,199,110,12,8,11,4,29,6
LOS ANGELES,9000288A,3149,151,N,0,VBM PORTION,123,47,7,2,2,4,27,13
LOS ANGELES,9000288A,3149,151,N,1283,TOTAL,322,157,19,10,13,8,56,19
LOS ANGELES,9000296C,3155,174,N,1268,POLLING PLACE,130,70,5,5,6,4,11,10
LOS ANGELES,9000296C,3155,174,N,0,VBM PORTION,75,30,3,2,8,5,8,6
LOS ANGELES,9000296C,3155,174,N,1268,TOTAL,205,100,8,7,14,9,19,16
LOS ANGELES,9000366A,3200,148,N,1114,POLLING PLACE,100,38,4,5,5,0,19,10
LOS ANGELES,9000366A,3200,148,N,0,VBM PORTION,52,21,0,2,4,0,15,3
LOS ANGELES,9000366A,3200,148,N,1114,TOTAL,152,59,4,7,9,0,34,13
LOS ANGELES,9000533A,3303,116,N,1082,POLLING PLACE,57,26,3,1,2,1,9,6
LOS ANGELES,9000533A,3303,116,N,0,VBM PORTION,49,23,0,2,3,3,11,3
LOS ANGELES,9000533A,3303,116,N,1082,TOTAL,106,49,3,3,5,4,20,9
LOS ANGELES,9000554A,3315,142,N,557,POLLING PLACE,3,1,0,0,1,0,0,0
LOS ANGELES,9000554A,3315,142,N,0,VBM PORTION,2,0,0,0,0,0,1,0
LOS ANGELES,9000554A,3315,142,N,557,TOTAL,5,1,0,0,1,0,1,0
LOS ANGELES,9000650C,3369,116,N,1345,POLLING PLACE,84,21,2,6,7,6,17,10
LOS ANGELES,9000650C,3369,116,N,0,VBM PORTION,91,23,2,8,6,6,12,8
LOS ANGELES,9000650C,3369,116,N,1345,TOTAL,175,44,4,14,13,12,29,18
LOS ANGELES,9000824A,3437,148,N,782,POLLING PLACE,42,18,0,0,3,0,9,3
LOS ANGELES,9000824A,3437,148,N,0,VBM PORTION,12,2,0,1,1,0,3,1
LOS ANGELES,9000824A,3437,148,N,782,TOTAL,54,20,0,1,4,0,12,4
LOS ANGELES,9000908A,3470,116,N,1051,POLLING PLACE,85,30,2,3,8,1,18,7
LOS ANGELES,9000908A,3470,116,N,0,VBM PORTION,86,27,7,0,4,2,29,5
LOS ANGELES,9000908A,3470,116,N,1051,TOTAL,171,57,9,3,12,3,47,12
LOS ANGELES,9000944A,3483,116,N,1255,POLLING PLACE,118,33,8,9,18,3,16,11
LOS ANGELES,9000944A,3483,116,N,0,VBM PORTION,73,21,1,6,7,2,12,6
LOS ANGELES,9000944A,3483,116,N,1255,TOTAL,191,54,9,15,25,5,28,17
LOS ANGELES,9000945B,3484,116,N,1081,POLLING PLACE,87,29,2,7,6,5,21,8
LOS ANGELES,9000945B,3484,116,N,0,VBM PORTION,61,17,2,3,7,3,15,4
LOS ANGELES,9000945B,3484,116,N,1081,TOTAL,148,46,4,10,13,8,36,12
LOS ANGELES,9000948A,3487,116,N,1111,POLLING PLACE,199,114,3,3,19,5,35,11
LOS ANGELES,9000948A,3487,116,N,0,VBM PORTION,132,80,3,1,7,4,19,3
LOS ANGELES,9000948A,3487,116,N,1111,TOTAL,331,194,6,4,26,9,54,14
LOS ANGELES,9001000A,3508,107,N,761,POLLING PLACE,70,20,1,11,7,3,9,7
LOS ANGELES,9001000A,3508,107,N,0,VBM PORTION,51,9,1,1,2,6,15,4
LOS ANGELES,9001000A,3508,107,N,761,TOTAL,121,29,2,12,9,9,24,11
LOS ANGELES,9001000C,3509,107,N,683,POLLING PLACE,33,2,0,5,3,0,12,6
LOS ANGELES,9001000C,3509,107,N,0,VBM PORTION,23,5,1,1,6,2,3,3
LOS ANGELES,9001000C,3509,107,N,683,TOTAL,56,7,1,6,9,2,15,9
LOS ANGELES,9001024A,3523,148,N,940,POLLING PLACE,70,18,4,5,5,4,25,3
LOS ANGELES,9001024A,3523,148,N,0,VBM PORTION,15,5,1,5,1,2,0,0
LOS ANGELES,9001024A,3523,148,N,940,TOTAL,85,23,5,10,6,6,25,3
LOS ANGELES,9001026C,3524,148,N,1025,POLLING PLACE,58,18,2,7,4,6,13,4
LOS ANGELES,9001026C,3524,148,N,0,VBM PORTION,43,9,3,3,1,4,19,1
LOS ANGELES,9001026C,3524,148,N,1025,TOTAL,101,27,5,10,5,10,32,5
LOS ANGELES,9001030A,3526,148,N,1133,POLLING PLACE,96,28,2,4,6,3,22,12
LOS ANGELES,9001030A,3526,148,N,0,VBM PORTION,53,20,1,6,0,2,12,5
LOS ANGELES,9001030A,3526,148,N,1133,TOTAL,149,48,3,10,6,5,34,17
LOS ANGELES,9001111A,3569,116,N,1174,POLLING PLACE,84,17,2,7,8,0,20,9
LOS ANGELES,9001111A,3569,116,N,0,VBM PORTION,71,23,2,4,6,4,12,9
LOS ANGELES,9001111A,3569,116,N,1174,TOTAL,155,40,4,11,14,4,32,18
LOS ANGELES,9001175A,3592,116,N,1323,POLLING PLACE,131,45,7,3,5,7,23,10
LOS ANGELES,9001175A,3592,116,N,0,VBM PORTION,163,42,4,14,7,10,35,13
LOS ANGELES,9001175A,3592,116,N,1323,TOTAL,294,87,11,17,12,17,58,23
LOS ANGELES,9001189B,3601,148,N,957,POLLING PLACE,86,38,0,2,11,5,12,5
LOS ANGELES,9001189B,3601,148,N,0,VBM PORTION,34,11,0,2,1,4,9,3
LOS ANGELES,9001189B,3601,148,N,957,TOTAL,120,49,0,4,12,9,21,8
LOS ANGELES,9001190D,3602,83,N,994,POLLING PLACE,98,30,5,2,9,1,8,11
LOS ANGELES,9001190D,3602,83,N,0,VBM PORTION,112,38,4,7,12,2,13,4
LOS ANGELES,9001190D,3602,83,N,994,TOTAL,210,68,9,9,21,3,21,15
LOS ANGELES,9001246A,3622,174,N,1183,POLLING PLACE,119,67,4,6,7,7,12,6
LOS ANGELES,9001246A,3622,174,N,0,VBM PORTION,87,38,10,1,6,3,10,3
LOS ANGELES,9001246A,3622,174,N,1183,TOTAL,206,105,14,7,13,10,22,9
LOS ANGELES,9001256B,3627,113,N,348,POLLING PLACE,47,21,0,2,3,0,3,3
LOS ANGELES,9001256B,3627,113,N,0,VBM PORTION,30,8,3,1,0,0,2,2
LOS ANGELES,9001256B,3627,113,N,348,TOTAL,77,29,3,3,3,0,5,5
LOS ANGELES,9001257B,3628,113,N,1164,POLLING PLACE,112,45,3,3,3,3,24,8
LOS ANGELES,9001257B,3628,113,N,0,VBM PORTION,136,46,5,7,3,2,19,5
LOS ANGELES,9001257B,3628,113,N,1164,TOTAL,248,91,8,10,6,5,43,13
LOS ANGELES,9001290A,3640,116,N,1237,POLLING PLACE,195,82,3,6,9,6,37,12
LOS ANGELES,9001290A,3640,116,N,0,VBM PORTION,184,64,4,4,6,9,38,14
LOS ANGELES,9001290A,3640,116,N,1237,TOTAL,379,146,7,10,15,15,75,26
LOS ANGELES,9001291A,3641,116,N,1309,POLLING PLACE,94,22,2,6,4,2,26,14
LOS ANGELES,9001291A,3641,116,N,0,VBM PORTION,62,13,1,10,5,2,7,10
LOS ANGELES,9001291A,3641,116,N,1309,TOTAL,156,35,3,16,9,4,33,24
LOS ANGELES,9001434A,3703,177,N,1086,POLLING PLACE,81,41,2,2,2,7,5,9
LOS ANGELES,9001434A,3703,177,N,0,VBM PORTION,52,20,1,2,2,8,6,7
LOS ANGELES,9001434A,3703,177,N,1086,TOTAL,133,61,3,4,4,15,11,16
LOS ANGELES,9001444A,3711,85,N,1344,POLLING PLACE,90,17,3,2,5,5,16,11
LOS ANGELES,9001444A,3711,85,N,0,VBM PORTION,108,25,3,8,3,3,16,9
LOS ANGELES,9001444A,3711,85,N,1344,TOTAL,198,42,6,10,8,8,32,20
LOS ANGELES,9001449A,3712,85,N,1321,POLLING PLACE,78,22,4,5,3,10,9,12
LOS ANGELES,9001449A,3712,85,N,0,VBM PORTION,102,15,7,8,7,5,18,5
LOS ANGELES,9001449A,3712,85,N,1321,TOTAL,180,37,11,13,10,15,27,17
LOS ANGELES,9001454A,3716,113,N,1115,POLLING PLACE,148,57,0,2,8,6,28,9
LOS ANGELES,9001454A,3716,113,N,0,VBM PORTION,156,63,3,5,3,3,15,13
LOS ANGELES,9001454A,3716,113,N,1115,TOTAL,304,120,3,7,11,9,43,22
LOS ANGELES,9001455A,3717,116,N,837,POLLING PLACE,112,42,5,1,8,5,18,6
LOS ANGELES,9001455A,3717,116,N,0,VBM PORTION,91,23,6,2,3,3,13,11
LOS ANGELES,9001455A,3717,116,N,837,TOTAL,203,65,11,3,11,8,31,17
LOS ANGELES,9001456A,3718,116,N,1346,POLLING PLACE,208,90,3,9,13,7,18,12
LOS ANGELES,9001456A,3718,116,N,0,VBM PORTION,171,62,2,7,10,4,21,13
LOS ANGELES,9001456A,3718,116,N,1346,TOTAL,379,152,5,16,23,11,39,25
LOS ANGELES,9001457A,3719,87,N,1309,POLLING PLACE,94,22,1,3,6,4,18,1
LOS ANGELES,9001457A,3719,87,N,0,VBM PORTION,149,39,2,4,6,1,27,11
LOS ANGELES,9001457A,3719,87,N,1309,TOTAL,243,61,3,7,12,5,45,12
LOS ANGELES,9001461A,3720,87,N,1084,POLLING PLACE,92,24,3,9,6,1,13,8
