LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,13,100
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,43,189
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,0,3
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,0,3
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,20,42
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,8,35
ALTADENA,0200087A,87,33,N,703,TOTAL,153,28,77
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,29,77
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,19,79
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,48,156
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,28,75
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,21,62
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,49,137
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,35,90
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,15,74
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,50,164
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,9,86
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,5,97
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,14,183
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,1,10
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,1,10
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,11,77
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,13,94
ARCADIA,0350001A,92,76,N,998,TOTAL,269,24,171
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,9,66
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,9,94
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,18,160
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,8,42
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,13,97
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,21,139
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,23,103
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,16,85
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,39,188
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,14,60
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,17,93
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,31,153
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,8,85
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,8,79
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,16,164
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,9,82
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,20,122
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,29,204
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,5,55
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,15,85
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,20,140
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,15,41
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,10,88
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,25,129
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,15,74
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,13,84
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,28,158
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,13,44
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,19,56
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,32,100
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,7,61
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,10,70
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,17,131
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,2,70
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,8,74
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,10,144
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,10,69
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,8,76
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,18,145
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,13,35
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,15,41
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,28,76
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,4,45
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,9,40
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,13,85
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,10,48
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,16,86
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,26,134
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,6,67
ARCADIA,0350048A,109,76,N,0,VBM PORTION,92,7,47
ARCADIA,0350048A,109,76,N,1098,TOTAL,204,13,114
ARCADIA,0350054A,110,76,N,1254,POLLING PLACE,135,15,88
ARCADIA,0350054A,110,76,N,0,VBM PORTION,152,19,69
ARCADIA,0350054A,110,76,N,1254,TOTAL,287,34,157
ARCADIA,0350058A,111,76,N,1346,POLLING PLACE,119,12,70
ARCADIA,0350058A,111,76,N,0,VBM PORTION,114,7,57
ARCADIA,0350058A,111,76,N,1346,TOTAL,233,19,127
ARCADIA,0350062B,112,76,N,1218,POLLING PLACE,81,14,50
ARCADIA,0350062B,112,76,N,0,VBM PORTION,115,10,69
ARCADIA,0350062B,112,76,N,1218,TOTAL,196,24,119
ARCADIA,0350079A,113,76,N,1247,POLLING PLACE,107,19,64
ARCADIA,0350079A,113,76,N,0,VBM PORTION,123,9,81
ARCADIA,0350079A,113,76,N,1247,TOTAL,230,28,145
ARCADIA,0350104A,114,76,N,1310,POLLING PLACE,114,17,69
ARCADIA,0350104A,114,76,N,0,VBM PORTION,127,15,71
ARCADIA,0350104A,114,76,N,1310,TOTAL,241,32,140
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,25,39
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,3,19
