LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
COMPTON,1450137B,540,178,N,1027,POLLING PLACE,56,14,6,12,23
COMPTON,1450137B,540,178,N,0,VBM PORTION,55,10,14,3,19
COMPTON,1450137B,540,178,N,1027,TOTAL,111,24,20,15,42
COMPTON,1450137L,541,178,N,587,POLLING PLACE,13,4,2,2,4
COMPTON,1450137L,541,178,N,0,VBM PORTION,16,4,1,3,4
COMPTON,1450137L,541,178,N,587,TOTAL,29,8,3,5,8
COMPTON,1450142B,542,178,N,1151,POLLING PLACE,70,14,14,14,26
COMPTON,1450142B,542,178,N,0,VBM PORTION,41,17,5,6,10
COMPTON,1450142B,542,178,N,1151,TOTAL,111,31,19,20,36
COMPTON,1450144G,6036,178,Y,0,POLLING PLACE,0,0,0,0,0
COMPTON,1450144G,6036,178,Y,0,VBM PORTION,0,0,0,0,0
COMPTON,1450144G,6036,178,Y,0,TOTAL,0,0,0,0,0
COMPTON,1450147A,543,178,N,789,POLLING PLACE,77,11,18,12,34
COMPTON,1450147A,543,178,N,0,VBM PORTION,78,26,10,9,28
COMPTON,1450147A,543,178,N,789,TOTAL,155,37,28,21,62
COMPTON,1450148A,544,178,N,811,POLLING PLACE,50,7,4,13,23
COMPTON,1450148A,544,178,N,0,VBM PORTION,59,11,6,9,29
COMPTON,1450148A,544,178,N,811,TOTAL,109,18,10,22,52
COMPTON,1450149A,545,178,N,1166,POLLING PLACE,81,18,6,15,36
COMPTON,1450149A,545,178,N,0,VBM PORTION,39,9,3,4,21
COMPTON,1450149A,545,178,N,1166,TOTAL,120,27,9,19,57
COMPTON,1450152A,546,178,N,682,POLLING PLACE,62,14,10,8,24
COMPTON,1450152A,546,178,N,0,VBM PORTION,46,18,5,6,12
COMPTON,1450152A,546,178,N,682,TOTAL,108,32,15,14,36
COMPTON,1450153A,547,178,N,961,POLLING PLACE,52,8,6,7,28
COMPTON,1450153A,547,178,N,0,VBM PORTION,35,1,3,9,19
COMPTON,1450153A,547,178,N,961,TOTAL,87,9,9,16,47
COMPTON,1450154A,548,178,N,1094,POLLING PLACE,88,25,12,11,32
COMPTON,1450154A,548,178,N,0,VBM PORTION,57,9,7,10,27
COMPTON,1450154A,548,178,N,1094,TOTAL,145,34,19,21,59
COMPTON,1450155A,549,178,N,1101,POLLING PLACE,80,23,16,8,27
COMPTON,1450155A,549,178,N,0,VBM PORTION,50,14,11,4,18
COMPTON,1450155A,549,178,N,1101,TOTAL,130,37,27,12,45
COMPTON,1450157A,550,178,N,874,POLLING PLACE,66,12,6,3,42
COMPTON,1450157A,550,178,N,0,VBM PORTION,46,7,5,5,24
COMPTON,1450157A,550,178,N,874,TOTAL,112,19,11,8,66
COMPTON,1450160A,551,178,N,888,POLLING PLACE,87,16,14,7,46
COMPTON,1450160A,551,178,N,0,VBM PORTION,40,12,10,3,10
COMPTON,1450160A,551,178,N,888,TOTAL,127,28,24,10,56
COMPTON,1450163A,552,178,N,863,POLLING PLACE,64,18,9,10,21
COMPTON,1450163A,552,178,N,0,VBM PORTION,28,1,6,9,9
COMPTON,1450163A,552,178,N,863,TOTAL,92,19,15,19,30
