LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,9,8,4,94,6,3,22
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,1,3,3,28,3,1,5
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,5,4,3,39,2,4,7
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,6,7,6,67,5,5,12
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,4,4,4,54,6,0,15
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,6,7,0,56,3,0,12
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,10,11,4,110,9,0,27
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,3,5,2,19,1,4,5
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,4,10,6,34,0,0,4
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,7,15,8,53,1,4,9
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,3,6,2,26,2,1,4
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,2,2,1,18,2,1,16
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,5,8,3,44,4,2,20
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,6,5,1,16,2,0,10
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,2,3,2,40,0,0,6
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,8,8,3,56,2,0,16
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,1,7,2,28,0,0,12
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,1,7,5,41,2,0,7
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,2,14,7,69,2,0,19
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,2,7,2,47,5,0,11
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,2,6,6,36,2,0,8
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,4,13,8,83,7,0,19
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,3,5,4,48,2,3,12
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,5,9,0,33,2,2,7
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,8,14,4,81,4,5,19
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,3,8,0,41,1,3,8
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,3,4,0,27,2,1,7
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,6,12,0,68,3,4,15
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,6,4,2,46,4,1,5
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,1,6,3,29,1,0,4
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,7,10,5,75,5,1,9
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,1,3,1,9,2,0,2
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,2,0,2,20,1,0,6
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,3,3,3,29,3,0,8
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,6,4,2,77,0,0,9
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,2,5,2,18,4,0,7
