LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,2,24,6,14,0,80,27,2
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,4,8,4,7,1,61,23,2
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,0,13,9,7,1,28,13,1
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,4,21,13,14,2,89,36,3
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,1,10,5,1,2,22,14,0
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,1,11,5,5,4,49,59,2
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,2,21,10,6,6,71,73,2
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,4,4,2,6,1,34,12,1
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,1,11,1,7,0,27,18,0
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,5,15,3,13,1,61,30,1
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,0,3,3,1,0,16,10,1
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,0,5,1,3,0,16,5,1
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,0,8,4,4,0,32,15,2
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,2,1,8,1,2,43,6,4
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,0,0,0,0,1,37,5,1
ALTADENA,0200001A,63,33,N,500,TOTAL,118,2,1,8,1,3,80,11,5
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,0,4,3,9,0,34,5,0
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,2,6,0,7,0,57,12,2
ALTADENA,0200002A,64,33,N,692,TOTAL,152,2,10,3,16,0,91,17,2
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,3,2,5,5,0,61,5,1
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,0,2,1,0,0,60,1,2
ALTADENA,0200003A,65,33,N,854,TOTAL,161,3,4,6,5,0,121,6,3
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,1,12,3,10,1,84,28,2
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,0,10,8,7,0,87,52,2
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,1,22,11,17,1,171,80,4
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,1,7,6,4,0,66,18,3
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,1,2,6,7,0,71,29,2
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,2,9,12,11,0,137,47,5
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,1,0,4,2,3,59,1,1
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,0,4,6,0,0,39,1,3
ALTADENA,0200008A,68,33,N,873,TOTAL,135,1,4,10,2,3,98,2,4
