LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
HAWTHORNE,2700022A,1058,162,N,1067,TOTAL,115,51,1,12,1,18,12,4,2
HAWTHORNE,2700023A,1059,162,N,1133,POLLING PLACE,107,27,3,21,4,20,19,3,5
HAWTHORNE,2700023A,1059,162,N,0,VBM PORTION,73,18,1,5,7,28,10,0,1
HAWTHORNE,2700023A,1059,162,N,1133,TOTAL,180,45,4,26,11,48,29,3,6
HAWTHORNE,2700025C,1060,162,N,1230,POLLING PLACE,96,24,1,11,2,36,14,0,2
HAWTHORNE,2700025C,1060,162,N,0,VBM PORTION,109,11,3,15,4,37,19,3,2
HAWTHORNE,2700025C,1060,162,N,1230,TOTAL,205,35,4,26,6,73,33,3,4
HAWTHORNE,2700028A,1061,162,N,1225,POLLING PLACE,61,33,1,6,0,5,7,1,2
HAWTHORNE,2700028A,1061,162,N,0,VBM PORTION,51,19,0,10,0,8,10,0,1
HAWTHORNE,2700028A,1061,162,N,1225,TOTAL,112,52,1,16,0,13,17,1,3
HAWTHORNE,2700029A,1062,162,N,1126,POLLING PLACE,69,34,0,5,2,4,10,0,3
HAWTHORNE,2700029A,1062,162,N,0,VBM PORTION,44,14,2,7,0,9,6,0,2
HAWTHORNE,2700029A,1062,162,N,1126,TOTAL,113,48,2,12,2,13,16,0,5
HAWTHORNE,2700039B,1063,162,N,1190,POLLING PLACE,127,27,2,7,2,49,19,5,1
HAWTHORNE,2700039B,1063,162,N,0,VBM PORTION,140,31,5,10,0,67,13,2,0
HAWTHORNE,2700039B,1063,162,N,1190,TOTAL,267,58,7,17,2,116,32,7,1
HAWTHORNE,2700041A,1064,162,N,1271,POLLING PLACE,131,25,4,11,0,56,18,2,0
HAWTHORNE,2700041A,1064,162,N,0,VBM PORTION,142,22,3,14,6,61,11,2,1
