LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
LOS ANGELES,9000513A,3291,90,N,0,VBM PORTION,62,10,16,31
LOS ANGELES,9000513A,3291,90,N,1073,TOTAL,119,18,29,62
LOS ANGELES,9000515A,3292,90,N,1149,POLLING PLACE,79,10,9,53
LOS ANGELES,9000515A,3292,90,N,0,VBM PORTION,59,11,11,31
LOS ANGELES,9000515A,3292,90,N,1149,TOTAL,138,21,20,84
LOS ANGELES,9000517A,3293,103,N,971,POLLING PLACE,93,9,23,51
LOS ANGELES,9000517A,3293,103,N,0,VBM PORTION,52,6,19,19
LOS ANGELES,9000517A,3293,103,N,971,TOTAL,145,15,42,70
LOS ANGELES,9000522A,3296,90,N,1124,POLLING PLACE,81,9,4,62
LOS ANGELES,9000522A,3296,90,N,0,VBM PORTION,74,6,17,43
LOS ANGELES,9000522A,3296,90,N,1124,TOTAL,155,15,21,105
LOS ANGELES,9000524A,3298,90,N,1020,POLLING PLACE,80,11,8,57
LOS ANGELES,9000524A,3298,90,N,0,VBM PORTION,32,7,5,17
LOS ANGELES,9000524A,3298,90,N,1020,TOTAL,112,18,13,74
LOS ANGELES,9000536A,3304,90,N,1166,POLLING PLACE,67,7,7,51
LOS ANGELES,9000536A,3304,90,N,0,VBM PORTION,53,5,2,41
LOS ANGELES,9000536A,3304,90,N,1166,TOTAL,120,12,9,92
LOS ANGELES,9000546A,3309,41,N,1017,POLLING PLACE,34,3,17,11
LOS ANGELES,9000546A,3309,41,N,0,VBM PORTION,51,4,11,24
LOS ANGELES,9000546A,3309,41,N,1017,TOTAL,85,7,28,35
LOS ANGELES,9000551A,3312,41,N,980,POLLING PLACE,58,11,10,25
LOS ANGELES,9000551A,3312,41,N,0,VBM PORTION,63,12,8,29
LOS ANGELES,9000551A,3312,41,N,980,TOTAL,121,23,18,54
LOS ANGELES,9000580A,3331,42,N,739,POLLING PLACE,40,6,7,21
LOS ANGELES,9000580A,3331,42,N,0,VBM PORTION,36,2,0,31
LOS ANGELES,9000580A,3331,42,N,739,TOTAL,76,8,7,52
LOS ANGELES,9000582A,3333,95,N,1106,POLLING PLACE,104,13,16,67
LOS ANGELES,9000582A,3333,95,N,0,VBM PORTION,45,3,10,29
LOS ANGELES,9000582A,3333,95,N,1106,TOTAL,149,16,26,96
LOS ANGELES,9000585A,3334,95,N,743,POLLING PLACE,57,13,8,28
LOS ANGELES,9000585A,3334,95,N,0,VBM PORTION,30,3,0,24
LOS ANGELES,9000585A,3334,95,N,743,TOTAL,87,16,8,52
LOS ANGELES,9000589A,3335,90,N,1189,POLLING PLACE,119,20,21,69
LOS ANGELES,9000589A,3335,90,N,0,VBM PORTION,98,32,11,50
LOS ANGELES,9000589A,3335,90,N,1189,TOTAL,217,52,32,119
LOS ANGELES,9000593A,3338,90,N,1222,POLLING PLACE,95,13,10,63
LOS ANGELES,9000593A,3338,90,N,0,VBM PORTION,48,11,6,24
LOS ANGELES,9000593A,3338,90,N,1222,TOTAL,143,24,16,87
LOS ANGELES,9000595A,3339,90,N,1270,POLLING PLACE,99,21,6,65
LOS ANGELES,9000595A,3339,90,N,0,VBM PORTION,71,13,19,36
LOS ANGELES,9000595A,3339,90,N,1270,TOTAL,170,34,25,101
LOS ANGELES,9000597A,3341,90,N,1216,POLLING PLACE,99,28,11,52
LOS ANGELES,9000597A,3341,90,N,0,VBM PORTION,46,10,3,27
LOS ANGELES,9000597A,3341,90,N,1216,TOTAL,145,38,14,79
LOS ANGELES,9000598A,3342,90,N,1076,POLLING PLACE,98,9,17,66
LOS ANGELES,9000598A,3342,90,N,0,VBM PORTION,56,9,9,29
LOS ANGELES,9000598A,3342,90,N,1076,TOTAL,154,18,26,95
