LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,33,55,70
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,35,36,41
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,68,91,111
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,25,37,70
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,38,35,28
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,63,72,98
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,25,42,53
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,29,34,26
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,54,76,79
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,22,26,23
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,18,10,9
ALTADENA,0200044A,84,33,N,985,TOTAL,136,40,36,32
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,25,33,45
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,34,44,34
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,59,77,79
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,30,34,50
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,40,36,40
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,70,70,90
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,1,2,1
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,1,2,1
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,20,22,24
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,13,14,14
ALTADENA,0200087A,87,33,N,703,TOTAL,153,33,36,38
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,40,28,39
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,33,33,35
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,73,61,74
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,24,32,44
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,29,29,29
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,53,61,73
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,31,23,70
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,30,26,31
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,61,49,101
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,22,44,36
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,32,39,27
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,54,83,63
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,9,0,2
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,9,0,2
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,25,36,25
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,36,45,23
ARCADIA,0350001A,92,76,N,998,TOTAL,269,61,81,48
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,21,23,32
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,35,42,31
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,56,65,63
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,13,31,16
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,41,45,23
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,54,76,39
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,34,50,52
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,23,44,36
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,57,94,88
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,22,29,23
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,41,40,32
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,63,69,55
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,38,30,27
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,26,34,24
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,64,64,51
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,31,32,30
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,51,63,28
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,82,95,58
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,24,19,15
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,37,41,28
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,61,60,43
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,18,22,17
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,39,39,24
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,57,61,41
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,33,30,31
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,36,24,36
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,69,54,67
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,17,15,23
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,43,26,12
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,60,41,35
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,22,24,19
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,24,30,26
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,46,54,45
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,17,37,19
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,24,41,10
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,41,78,29
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,27,31,24
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,24,43,19
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,51,74,43
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,14,23,9
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,17,22,15
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,31,45,24
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,14,17,19
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,25,18,5
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,39,35,24
