LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,34,51
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,75,116
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,63,68
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,47,47
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,110,115
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,10,92
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,28,72
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,38,164
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,0,11
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,0,11
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,33,54
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,31,78
ARCADIA,0350001A,92,76,N,998,TOTAL,269,64,132
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,38,43
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,48,69
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,86,112
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,15,43
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,50,64
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,65,107
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,49,86
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,39,70
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,88,156
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,26,52
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,46,71
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,72,123
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,30,70
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,31,65
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,61,135
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,40,63
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,46,102
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,86,165
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,22,43
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,29,77
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,51,120
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,18,42
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,38,69
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,56,111
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,23,76
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,40,67
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,63,143
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,30,25
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,33,56
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,63,81
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,21,51
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,34,47
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,55,98
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,20,53
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,34,40
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,54,93
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,27,51
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,28,60
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,55,111
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,17,34
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,17,42
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,34,76
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,22,31
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,22,32
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,44,63
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,30,32
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,42,63
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,72,95
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,25,54
ARCADIA,0350048A,109,76,N,0,VBM PORTION,92,22,40
ARCADIA,0350048A,109,76,N,1098,TOTAL,204,47,94
ARCADIA,0350054A,110,76,N,1254,POLLING PLACE,135,36,78
ARCADIA,0350054A,110,76,N,0,VBM PORTION,152,44,61
ARCADIA,0350054A,110,76,N,1254,TOTAL,287,80,139
ARCADIA,0350058A,111,76,N,1346,POLLING PLACE,119,35,57
ARCADIA,0350058A,111,76,N,0,VBM PORTION,114,26,48
ARCADIA,0350058A,111,76,N,1346,TOTAL,233,61,105
ARCADIA,0350062B,112,76,N,1218,POLLING PLACE,81,22,45
ARCADIA,0350062B,112,76,N,0,VBM PORTION,115,38,46
ARCADIA,0350062B,112,76,N,1218,TOTAL,196,60,91
ARCADIA,0350079A,113,76,N,1247,POLLING PLACE,107,37,51
ARCADIA,0350079A,113,76,N,0,VBM PORTION,123,36,58
ARCADIA,0350079A,113,76,N,1247,TOTAL,230,73,109
ARCADIA,0350104A,114,76,N,1310,POLLING PLACE,114,40,49
ARCADIA,0350104A,114,76,N,0,VBM PORTION,127,37,55
ARCADIA,0350104A,114,76,N,1310,TOTAL,241,77,104
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,36,35
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,7,17
