LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
65096,MAIN,21-May-13,3396 MANNING COURT,12' S/N MANNING COURT,413' E/E MANNING AVE.,4,C.I.,1946,64813,2 INCH BLOW OFF,1,,,,,C. SCHWEINBOLD,122-165,5,10,PUMPED OUT 2 RISER AND ADDED FITTINGS TO END AFTER TURNING ON/OFF CURB VALVE & TAPPING DOWN. REPAVED PATCH AND PAINTED LIDS.,34.03096406,-118.4044665
65098,MAIN,21-May-13,1177 BEVERLY DR,25' E/W BEVERLY DR.,163' N/N PICO BLVD.,6,C.I.,1924,33892,RUPTURE,1,,,,C,R. GONZALES,132-165,12,50,"FOUND LEAK ON 6' C.I. MAIN. CUT IN 8' OF 6"" D.I. WITH TWO UNIONS.",34.05585214,-118.3958596
65131,MAIN,22-May-13,3536 10TH AVE,17 1/2' S/N 36TH ST.,51' E/E 10TH AVE.,6,C.I.,1923,31223,CORP BLOW OUT,1,,BAD,,ADOBE,WASHINGTON,120-186,3,6,"FOUND ABANDONED BLOWN OUT CORP VALVE. INSTALLED 6"" X 12"" 360 DEGREE CLAMP. BACKFILLED, OILED,PICK UP FOR 5' X 3' EXC. COMPLETE.",34.02297515,-118.3280647
65099,MAIN,22-May-13,5749 CHESLEY AVE.,22' EW CHESLEY AVE,108 N/N SLAUSON AVE.,4,C.I.,1923,31300,RUPTURE,1,,,,C,R. GONZALES,108-186,8.5,17,"FOUND LEAK ON 4"" C.I. MAIN. CUT IN 3' OF 4"" D.I. WITH TWO UNIONS",33.9894508,-118.3344693
65675,MAIN,22-May-13,20320 BALTAR ST,9' SCL BALTAR ST,310' WCL OSO AVE,1,COPPER,,,JOINT,1,,,,,JOSEPH,190-111,1.5,3,"REPAIRED 1"" SERVICE BY INSTALLING A NEW 1"" HEAD TO STOP SERVICE LEAK.",34.2165252,-118.5764268
65101,MAIN,22-May-13,308 N. LAS PALMAS AVE.,20' E/W N LAS PALMAS AVE.,151' N/N BEVERLY BLVD.,6,C.I.,1924,35161,,1,,,,,T. BLACK,140-186,1.5,10.5,"WHILE EXCAVATING SERVICE, FOUND MAIN LEAK. MADE REPAIR WITH 360 DEGREE REPAIR CLAMP. CLEANED SITE, MADE SAFE.",34.0767443,-118.335992
65104,MAIN,22-May-13,448 N. LAS PALMAS AVE.,20' E/W LAS PALMAS AVE,190' S/S ROSEWOOD AVE.,6,C.I.,1924,35161,,1,,,,,T. BLACK,140-186,1.5,10.5,FOUND HOLE ON TOP OF MAIN. NEXT TO SERVICE. MADE REPAIR USING VENTED CLAMP. CLEANED SITE AND MADE SAFE.,34.07969915,-118.335794
65109,MAIN,23-May-13,555 LEVERING AVE,25' NS LEVERING AVE,169' W/W KELTON AVE.,6,STEEL,1928,46203,RUST HOLE,1,,,,CLAY,P. FIERROZ,136-150,5,12,"MADE REPAIR ON 6"" STEEL MAIN. BUT WE STILL HAD A LOT OF WATER COMING INTO OUR EXCAVATION. FOUND ANOTHER LEAK.",34.06662704,-118.4540437
65105,MAIN,23-May-13,317 N. LAS PALMAS AVE.,20' E/W LAS PALMAS AVE,164' N/N BEVERLY BLVD.,6,C.I.,1924,35161,,1,,,,,T. BLACK,140-186,2,6,FOUND WATER SPRAYING FROM BETWEEN MAIN AND SADDLE. REMOVEED AND REPLACED SADDLE.,34.07678004,-118.3359874
65464,MAIN,24-May-13,19' S OF PATTON AVE.,.12' N/S 19TH ST.,36' E/W PATTON AVE.,6,A.C.,1969,88630,COUPLING,1,,,,,ROGERS,012-195,4,8,"HIT W/M 6"" OF C. WM, BROKEN COLLAR EXCAVATION, DONE BY CONTRACTOR CUT IN 2"" D.I. WITH 2 MECH. COUPLING. ENERGIZE MAIN OF 6"" CONTRACTOR WILL BACKFILL, CLEAN UP AND LEFT SITE SAFE.",33.7269772,-118.305599
65112,MAIN,26-May-13,404 N. DETROIT ST.,50' W/W LA BREA AVE.,22' N/S OAKWOOD AVE.,8,C.I.,1933,53018,,1,,,,C,R. GONZALES,140-183,16,60,"BLOWOUT ON 8"" C.I. MAIN. CUT IN 12' OF 8"" D.I. TWO UNIONS.",34.07824793,-118.344369
65465,MAIN,27-May-13,901 W. MILLMARK GROVE ST.,18' N/S MILLMARK GROVE ST.,265' W/W BLOOMWOOD RD.,8,C.I.,1961,80420,SPLIT,1,,,,,ROGERS,024-198,7.5,15,"SET UP TRAFFIC. 21"" SPLIT AT BOTTOM OF PIPE. CLEANED UP, LEFT SITE SAFE.",33.759385,-118.2970832
65647,MAIN,28-May-13,5301 LURLINE AVE,9' SCL WYANDOTTE ST,4' WCL LURLINE AVE,4,C.I.,1955,73374,ROUND CRACK,1,,,NOT APPLIED,CLAY,MAO,186-111,9,27,"INSTALLED 4X 12 REPAIR CLAMP ON ROUND CRACK, STOPPED LEAK, BACKFILLED, TEMP OILD, CLEANED STREET.",34.20306393,-118.5841702
65647,MAIN,28-May-13,5301 LURLINE AVE,9' SCL WYANDOTTE ST,4' WCL LURLINE AVE,4,C.I.,1955,73374,ROUND CRACK,1,,,NOT APPLIED,CLAY,MAO,186-111,9,27,"INSTALLED 4X 12 REPAIR CLAMP ON ROUND CRACK, STOPPED LEAK, BACKFILLED, TEMP OILD, CLEANED STREET.",34.20304076,-118.5841326
