agency_unique,swcrb_name,supplier_name_proper,supplier_name_slug,hydrologic_region,hydrologic_region_slug,june_5_reduction_target,march_1_reduction_target,cumulative_reduction_percent,reached_reduction_target,stress_test_reduction_target
1730,Newport Beach City of,city of newport beach,city-of-newport-beach,South Coast,south-coast,0.28,0.21,0.202,FALSE,0
,Norco City of,city of norco,city-of-norco,South Coast,south-coast,0.36,0.36,0.232,FALSE,0
1756,Norwalk City of,city of norwalk,city-of-norwalk,South Coast,south-coast,0.2,0.17,0.14,FALSE,0
1765,Oakdale City of,city of oakdale,city-of-oakdale,San Joaquin River,san-joaquin-river,0.32,0.3,0.39,TRUE,0
1777,Oceanside City of,city of oceanside,city-of-oceanside,South Coast,south-coast,0.2,0.12,0.197,FALSE,0
1795,Ontario City of,city of ontario,city-of-ontario,South Coast,south-coast,0.24,0.2,0.202,FALSE,0
1797,Orange City of,city of orange,city-of-orange,South Coast,south-coast,0.28,0.21,0.262,FALSE,0
1827,Oxnard City of,city of oxnard,city-of-oxnard,South Coast,south-coast,0.12,0.12,0.166,TRUE,0
1851,Palo Alto City of,city of palo alto,city-of-palo-alto,San Francisco Bay,san-francisco-bay,0.24,0.24,0.312,TRUE,0
1866,Paramount City of,city of paramount,city-of-paramount,South Coast,south-coast,0.12,0.08,0.135,TRUE,0
1873,Pasadena City of,city of pasadena,city-of-pasadena,South Coast,south-coast,0.28,0.26,0.213,FALSE,0
1875,Paso Robles City of,city of paso robles,city-of-paso-robles,Central Coast,central-coast,0.28,0.24,0.295,TRUE,0
1877,Patterson City of,city of patterson,city-of-patterson,San Joaquin River,san-joaquin-river,0.28,0.25,0.297,TRUE,0
1888,Perris City of,city of perris,city-of-perris,South Coast,south-coast,0.24,0.24,0.108,FALSE,0.04
1894,Petaluma City of,city of petaluma,city-of-petaluma,San Francisco Bay,san-francisco-bay,0.16,0.16,0.229,TRUE,0
1899,Pico Rivera City of,city of pico rivera,city-of-pico-rivera,South Coast,south-coast,0.16,0.16,NULL,NULL,NULL
1923,Pismo Beach City of,city of pismo beach,city-of-pismo-beach,Central Coast,central-coast,0.24,0.22,NULL,NULL,0
1925,Pittsburg City of,city of pittsburg,city-of-pittsburg,San Francisco Bay,san-francisco-bay,0.2,0.19,0.191,FALSE,0
1940,Pleasanton City of,city of pleasanton,city-of-pleasanton,San Francisco Bay,san-francisco-bay,0.24,0.24,0.387,TRUE,0
1945,Pomona City of,city of pomona,city-of-pomona,South Coast,south-coast,0.2,0.18,0.229,TRUE,0
1953,Port Hueneme City of,city of port hueneme,city-of-port-hueneme,South Coast,south-coast,0.08,0.08,0.164,TRUE,0
1956,Porterville City of,city of porterville,city-of-porterville,Tulare Lake,tulare-lake,0.32,0.26,0.294,FALSE,NULL
1964,Poway City of,city of poway,city-of-poway,South Coast,south-coast,0.32,0.24,0.311,FALSE,0
2031,Red Bluff City of,city of red bluff,city-of-red-bluff,Sacramento River,sacramento-river,0.36,0.33,0.284,FALSE,NULL
2033,Redding City of,city of redding,city-of-redding,Sacramento River,sacramento-river,0.36,0.33,0.269,FALSE,0
2035,Redlands City of,city of redlands,city-of-redlands,South Coast,south-coast,0.36,0.33,0.219,FALSE,0
2037,Redwood City City of,city of redwood city,city-of-redwood-city,San Francisco Bay,san-francisco-bay,0.08,0.08,0.238,TRUE,0
2042,Reedley City of,city of reedley,city-of-reedley,Tulare Lake,tulare-lake,0.24,0.22,0.208,FALSE,0
2049,Rialto City of,city of rialto,city-of-rialto,South Coast,south-coast,0.28,0.26,0.193,FALSE,0
2063,Rio Vista City of,city of rio vista,city-of-rio-vista,Sacramento River,sacramento-river,0.36,0.33,0.269,FALSE,0
2065,Ripon City of,city of ripon,city-of-ripon,San Joaquin River,san-joaquin-river,0.36,0.33,0.274,FALSE,0
2074,Riverbank City of,city of riverbank,city-of-riverbank,San Joaquin River,san-joaquin-river,0.32,0.3,0.079,FALSE,0
2083,Riverside City of,city of riverside,city-of-riverside,South Coast,south-coast,0.28,0.25,0.208,FALSE,0
2103,Rohnert Park City of,city of rohnert park,city-of-rohnert-park,North Coast,north-coast,0.16,0.16,0.174,TRUE,0
2111,Roseville City of,city of roseville,city-of-roseville,Sacramento River,sacramento-river,0.28,0.25,0.343,TRUE,0
2130,Sacramento City of,city of sacramento,city-of-sacramento,Sacramento River,sacramento-river,0.28,0.25,0.286,TRUE,0
2150,San Bernardino City of,city of san bernardino,city-of-san-bernardino,South Coast,south-coast,0.28,0.24,0.253,FALSE,0
2157,San Bruno City of,city of san bruno,city-of-san-bruno,San Francisco Bay,san-francisco-bay,0.08,0.08,0.243,TRUE,0
2158,San Buenaventura City of,city of san buenaventura,city-of-san-buenaventura,South Coast,south-coast,0.16,0.16,0.213,TRUE,NULL
2159,San Clemente City of,city of san clemente,city-of-san-clemente,South Coast,south-coast,0.24,0.24,0.251,TRUE,0
2160,San Diego City of,city of san diego,city-of-san-diego,South Coast,south-coast,0.16,0.08,0.186,TRUE,0
2163,San Fernando City of,city of san fernando,city-of-san-fernando,South Coast,south-coast,0.24,0.22,0.202,FALSE,0
2169,San Jacinto City of,city of san jacinto,city-of-san-jacinto,South Coast,south-coast,0.32,0.3,0.292,FALSE,0
,San Jose City of,city of san jose,city-of-san-jose,San Francisco Bay,san-francisco-bay,0.2,0.2,0.283,TRUE,0
2177,San Juan Capistrano City of,city of san juan capistrano,city-of-san-juan-capistrano,South Coast,south-coast,0.28,0.27,0.206,FALSE,0
2182,San Luis Obispo City of,city of san luis obispo,city-of-san-luis-obispo,Central Coast,central-coast,0.12,0.12,0.204,TRUE,NULL
2205,Sanger City of,city of sanger,city-of-sanger,Tulare Lake,tulare-lake,0.28,0.26,0.193,FALSE,NULL
2207,Santa Ana City of,city of santa ana,city-of-santa-ana,South Coast,south-coast,0.12,0.08,0.165,TRUE,0
2209,Santa Barbara City of,city of santa barbara,city-of-santa-barbara,Central Coast,central-coast,0.12,0.12,0.334,TRUE,NULL
2210,Santa Clara City of,city of santa clara,city-of-santa-clara,San Francisco Bay,san-francisco-bay,0.16,0.16,0.218,TRUE,0
2213,Santa Cruz City of,city of santa cruz,city-of-santa-cruz,Central Coast,central-coast,0.08,0.08,0.273,TRUE,NULL
2215,Santa Fe Springs City of,city of santa fe springs,city-of-santa-fe-springs,South Coast,south-coast,0.16,0.16,0.214,TRUE,0
2218,Santa Maria City of,city of santa maria,city-of-santa-maria,Central Coast,central-coast,0.16,0.16,0.17,TRUE,0
2220,Santa Monica City of,city of santa monica,city-of-santa-monica,South Coast,south-coast,0.2,0.2,0.207,TRUE,0
2222,Santa Paula City of,city of santa paula,city-of-santa-paula,South Coast,south-coast,0.28,0.26,0.238,FALSE,0
2224,Santa Rosa City of,city of santa rosa,city-of-santa-rosa,North Coast,north-coast,0.16,0.16,0.254,TRUE,0
2241,Seal Beach City of,city of seal beach,city-of-seal-beach,South Coast,south-coast,0.08,0.12,0.16,TRUE,0
2260,Shafter City of,city of shafter,city-of-shafter,Tulare Lake,tulare-lake,0.36,0.32,0.244,FALSE,0
,Shasta Lake City of,city of shasta lake,city-of-shasta-lake,Sacramento River,sacramento-river,0.28,0.25,0.357,TRUE,0.1
2290,Sierra Madre City of,city of sierra madre,city-of-sierra-madre,South Coast,south-coast,0.32,0.3,0.168,FALSE,0
2323,Soledad City of,city of soledad,city-of-soledad,Central Coast,central-coast,0.24,0.24,0.209,FALSE,0
2326,Sonoma City of,city of sonoma,city-of-sonoma,San Francisco Bay,san-francisco-bay,0.28,0.28,0.269,FALSE,0
