LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,12,2,4,17,13,14
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,34,6,7,51,17,29
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,21,3,2,25,5,12
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,11,3,3,15,4,6
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,32,6,5,40,9,18
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,17,3,7,25,6,10
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,17,1,3,10,7,8
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,34,4,10,35,13,18
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,9,1,0,7,3,2
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,13,1,2,13,5,3
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,22,2,2,20,8,5
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,28,4,7,42,6,13
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,11,1,4,13,8,8
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,39,5,11,55,14,21
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,14,1,4,26,14,14
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,26,5,1,14,19,15
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,40,6,5,40,33,29
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,29,5,3,28,16,24
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,13,1,0,16,22,17
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,42,6,3,44,38,41
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,14,2,2,15,5,18
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,31,4,4,24,9,61
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,45,6,6,39,14,79
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,9,7,0,21,14,18
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,14,1,0,14,8,27
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,23,8,0,35,22,45
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,6,1,3,11,6,4
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,7,3,2,7,8,5
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,13,4,5,18,14,9
