LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEOFF RIZZO,KURT WEIDEMAN,AURELIO MATTUCCI,RYAN MAND,L KIMMEL-DAGOSTINO,RAHMAT KHAN,JOHN PAUL TABAKIAN,CLINT A PAULSON,MILTON HERRING,HEIDI ANN ASHCRAFT,OMAR NAVARRO,MIKE GRIFFITHS,TIM GOODRICH,CHARLOTTE A SVOLOS,ALEX M SEE,NORM SEGEL
TORRANCE,7150094A,2706,180,N,1374,TOTAL,337,80,103,60,17,67,39,19,36,57,96,14,89,101,38,98,19
TORRANCE,7150098A,2707,180,N,1210,POLLING PLACE,263,55,67,34,13,76,21,25,38,64,92,4,58,108,25,56,9
TORRANCE,7150098A,2707,180,N,0,VBM PORTION,198,57,59,37,11,55,25,21,22,44,72,10,37,56,25,63,6
TORRANCE,7150098A,2707,180,N,1210,TOTAL,461,112,126,71,24,131,46,46,60,108,164,14,95,164,50,119,15
TORRANCE,7150101A,2708,180,N,1315,POLLING PLACE,178,55,49,29,16,36,5,7,15,41,71,1,41,62,22,29,19
TORRANCE,7150101A,2708,180,N,0,VBM PORTION,201,65,58,33,19,38,8,13,22,37,80,2,46,65,29,41,13
TORRANCE,7150101A,2708,180,N,1315,TOTAL,379,120,107,62,35,74,13,20,37,78,151,3,87,127,51,70,32
TORRANCE,7150102A,2709,180,N,1117,POLLING PLACE,153,31,41,19,4,39,18,10,17,20,52,9,33,44,19,34,32
TORRANCE,7150102A,2709,180,N,0,VBM PORTION,168,42,42,24,4,49,14,10,21,22,62,5,33,50,19,31,24
TORRANCE,7150102A,2709,180,N,1117,TOTAL,321,73,83,43,8,88,32,20,38,42,114,14,66,94,38,65,56
TORRANCE,7150104A,2710,180,N,885,POLLING PLACE,211,63,74,29,9,34,12,20,32,42,77,7,65,86,23,55,6
TORRANCE,7150104A,2710,180,N,0,VBM PORTION,188,67,59,28,7,40,6,13,33,31,72,0,69,72,11,46,6
TORRANCE,7150104A,2710,180,N,885,TOTAL,399,130,133,57,16,74,18,33,65,73,149,7,134,158,34,101,12
TORRANCE,7150106A,2711,180,N,1291,POLLING PLACE,241,75,88,48,8,34,11,21,47,50,79,6,76,93,17,54,6
TORRANCE,7150106A,2711,180,N,0,VBM PORTION,271,83,108,39,12,33,22,26,40,42,83,2,53,104,25,51,13
TORRANCE,7150106A,2711,180,N,1291,TOTAL,512,158,196,87,20,67,33,47,87,92,162,8,129,197,42,105,19
TORRANCE,7150109A,2712,180,N,1376,POLLING PLACE,268,97,97,46,17,55,11,21,36,63,94,6,59,92,26,28,7
TORRANCE,7150109A,2712,180,N,0,VBM PORTION,235,83,105,42,12,50,8,9,25,38,97,3,35,78,24,46,4
TORRANCE,7150109A,2712,180,N,1376,TOTAL,503,180,202,88,29,105,19,30,61,101,191,9,94,170,50,74,11
TORRANCE,7150112B,2713,180,N,1000,POLLING PLACE,176,49,73,41,1,36,11,8,33,27,72,1,66,91,15,13,8
TORRANCE,7150112B,2713,180,N,0,VBM PORTION,203,72,88,38,5,48,10,17,33,28,75,7,56,62,20,31,7
TORRANCE,7150112B,2713,180,N,1000,TOTAL,379,121,161,79,6,84,21,25,66,55,147,8,122,153,35,44,15
TORRANCE,7150114A,2714,180,N,1038,POLLING PLACE,150,39,45,23,4,24,19,9,19,24,48,6,38,70,9,21,6
TORRANCE,7150114A,2714,180,N,0,VBM PORTION,172,36,55,26,10,26,13,18,21,35,60,4,38,41,33,33,6
TORRANCE,7150114A,2714,180,N,1038,TOTAL,322,75,100,49,14,50,32,27,40,59,108,10,76,111,42,54,12
TORRANCE,7150115A,2715,180,N,899,POLLING PLACE,128,24,42,18,11,25,9,8,17,24,34,3,23,48,19,12,8
TORRANCE,7150115A,2715,180,N,0,VBM PORTION,88,28,25,11,2,18,7,9,8,12,17,0,14,28,8,10,1
TORRANCE,7150115A,2715,180,N,899,TOTAL,216,52,67,29,13,43,16,17,25,36,51,3,37,76,27,22,9
TORRANCE,7150116A,2716,182,N,1224,POLLING PLACE,194,51,58,28,13,44,21,21,20,54,76,15,32,61,28,44,5
TORRANCE,7150116A,2716,182,N,0,VBM PORTION,146,32,54,17,10,37,10,13,15,34,54,6,26,48,25,33,7
TORRANCE,7150116A,2716,182,N,1224,TOTAL,340,83,112,45,23,81,31,34,35,88,130,21,58,109,53,77,12
TORRANCE,7150121A,2717,182,N,1406,POLLING PLACE,252,53,99,40,8,79,19,19,38,57,111,4,58,97,38,51,6
TORRANCE,7150121A,2717,182,N,0,VBM PORTION,252,55,97,34,12,66,17,20,32,53,108,4,53,82,36,50,10
TORRANCE,7150121A,2717,182,N,1406,TOTAL,504,108,196,74,20,145,36,39,70,110,219,8,111,179,74,101,16
TORRANCE,7150125A,2718,185,N,838,POLLING PLACE,65,19,17,7,7,12,6,3,10,14,15,2,12,26,10,14,4
TORRANCE,7150125A,2718,185,N,0,VBM PORTION,74,29,20,11,6,21,4,6,6,16,19,7,13,15,8,16,2
TORRANCE,7150125A,2718,185,N,838,TOTAL,139,48,37,18,13,33,10,9,16,30,34,9,25,41,18,30,6
TORRANCE,7150131A,2719,180,N,902,POLLING PLACE,104,22,41,19,5,21,10,12,14,29,33,5,15,48,14,20,7
TORRANCE,7150131A,2719,180,N,0,VBM PORTION,101,22,31,21,5,22,6,11,20,14,28,2,14,31,16,19,5
TORRANCE,7150131A,2719,180,N,902,TOTAL,205,44,72,40,10,43,16,23,34,43,61,7,29,79,30,39,12
