LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN,
SANTA MONICA,6250098A,2500,181,N,1199,POLLING PLACE,326,225,56,
SANTA MONICA,6250098A,2500,181,N,,VBM PORTION,78,47,23,
SANTA MONICA,6250098A,2500,181,N,1199,TOTAL,404,272,79,
SANTA MONICA,6250106A,2501,181,N,955,POLLING PLACE,249,189,39,
SANTA MONICA,6250106A,2501,181,N,,VBM PORTION,101,69,18,
SANTA MONICA,6250106A,2501,181,N,955,TOTAL,350,258,57,
SANTA MONICA,6250107A,2502,181,N,1181,POLLING PLACE,336,237,71,
SANTA MONICA,6250107A,2502,181,N,,VBM PORTION,129,86,33,
SANTA MONICA,6250107A,2502,181,N,1181,TOTAL,465,323,104,
SANTA MONICA,6250110D,2503,181,N,910,POLLING PLACE,245,181,46,
SANTA MONICA,6250110D,2503,181,N,,VBM PORTION,60,48,12,
SANTA MONICA,6250110D,2503,181,N,910,TOTAL,305,229,58,
SANTA MONICA,6250113A,2504,181,N,1372,POLLING PLACE,294,193,73,
SANTA MONICA,6250113A,2504,181,N,,VBM PORTION,119,73,38,
SANTA MONICA,6250113A,2504,181,N,1372,TOTAL,413,266,111,
SANTA MONICA,6250121A,2505,181,N,1205,POLLING PLACE,268,178,69,
SANTA MONICA,6250121A,2505,181,N,,VBM PORTION,81,52,23,
SANTA MONICA,6250121A,2505,181,N,1205,TOTAL,349,230,92,
SANTA MONICA,6250125A,2506,181,N,1138,POLLING PLACE,354,240,89,
SANTA MONICA,6250125A,2506,181,N,,VBM PORTION,114,62,41,
SANTA MONICA,6250125A,2506,181,N,1138,TOTAL,468,302,130,
SANTA MONICA,6250127A,2507,181,N,1072,POLLING PLACE,327,250,39,
SANTA MONICA,6250127A,2507,181,N,,VBM PORTION,65,41,14,
SANTA MONICA,6250127A,2507,181,N,1072,TOTAL,392,291,53,
SANTA MONICA,6250128A,2508,181,N,878,POLLING PLACE,268,167,75,
SANTA MONICA,6250128A,2508,181,N,,VBM PORTION,117,61,39,
SANTA MONICA,6250128A,2508,181,N,878,TOTAL,385,228,114,
SANTA MONICA,6250128C,6226,182,Y,83,POLLING PLACE,,,,
SANTA MONICA,6250128C,6226,182,Y,,VBM PORTION,20,12,7,
SANTA MONICA,6250128C,6226,182,Y,83,TOTAL,20,12,7,
TOPANGA,7100001A,2655,196,N,988,POLLING PLACE,253,153,85,
TOPANGA,7100001A,2655,196,N,,VBM PORTION,107,69,34,
TOPANGA,7100001A,2655,196,N,988,TOTAL,360,222,119,
TOPANGA,7100002A,2656,196,N,966,POLLING PLACE,297,237,39,
TOPANGA,7100002A,2656,196,N,,VBM PORTION,47,30,14,
TOPANGA,7100002A,2656,196,N,966,TOTAL,344,267,53,
TOPANGA,7100004B,2657,196,N,778,POLLING PLACE,254,201,39,
TOPANGA,7100004B,2657,196,N,,VBM PORTION,49,34,13,
TOPANGA,7100004B,2657,196,N,778,TOTAL,303,235,52,
TOPANGA,7100006A,2658,196,N,650,POLLING PLACE,215,172,26,
TOPANGA,7100006A,2658,196,N,,VBM PORTION,45,37,6,
