LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUE HIMMELRICH,JERRY RUBIN,PAM O'CONNOR,TERENCE LATER,FRANK GRUBER,PHIL BROCK,NICK BOLES,WHITNEY SCOTT BAIN,ZOE MUNTANER,KEVIN MCKEOWN,RICHARD MCKINNON,JON MANN,MICHAEL FEINSTEIN,JENNIFER KENNEDY,
SANTA MONICA,6250121A,2505,181,N,1205,POLLING PLACE,268,88,18,62,15,49,52,11,15,5,99,41,25,45,55,
SANTA MONICA,6250121A,2505,181,N,,VBM PORTION,81,21,11,21,5,16,18,5,7,3,23,5,7,14,14,
SANTA MONICA,6250121A,2505,181,N,1205,TOTAL,349,109,29,83,20,65,70,16,22,8,122,46,32,59,69,
SANTA MONICA,6250125A,2506,181,N,1138,POLLING PLACE,354,108,17,79,27,62,93,24,26,13,109,104,17,41,52,
SANTA MONICA,6250125A,2506,181,N,,VBM PORTION,114,33,3,29,8,20,28,3,1,2,38,26,2,11,16,
SANTA MONICA,6250125A,2506,181,N,1138,TOTAL,468,141,20,108,35,82,121,27,27,15,147,130,19,52,68,
SANTA MONICA,6250127A,2507,181,N,1072,POLLING PLACE,327,123,23,70,14,58,59,17,11,7,117,65,12,50,82,
SANTA MONICA,6250127A,2507,181,N,,VBM PORTION,65,19,5,17,1,8,7,6,4,1,24,11,3,13,17,
SANTA MONICA,6250127A,2507,181,N,1072,TOTAL,392,142,28,87,15,66,66,23,15,8,141,76,15,63,99,
SANTA MONICA,6250128A,2508,181,N,878,POLLING PLACE,268,83,12,49,17,53,74,10,3,,77,61,14,20,34,
SANTA MONICA,6250128A,2508,181,N,,VBM PORTION,117,29,2,19,7,32,34,5,5,,38,21,1,15,7,
SANTA MONICA,6250128A,2508,181,N,878,TOTAL,385,112,14,68,24,85,108,15,8,,115,82,15,35,41,
SANTA MONICA,6250128C,6226,182,Y,83,POLLING PLACE,,,,,,,,,,,,,,,,
SANTA MONICA,6250128C,6226,182,Y,,VBM PORTION,20,2,3,8,2,8,11,,,,2,,,4,1,
SANTA MONICA,6250128C,6226,182,Y,83,TOTAL,20,2,3,8,2,8,11,,,,2,,,4,1,
BALLOT GROUP 181,9990181A,8181,181,N,,POLLING PLACE,,,,,,,,,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,VBM PORTION,,,,,,,,,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,TOTAL,,,,,,,,,,,,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,POLLING PLACE,,,,,,,,,,,,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,VBM PORTION,,,,,,,,,,,,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,TOTAL,,,,,,,,,,,,,,,,
