Precinct,Ballot_Group,Consolidation,IsVoteByMail
0200001B,36,0200001A,0
3650003A,155,3650015A,0
9002112C,104,9002112A,0
2620001M,2,2620001A,0
3850151C,206,3850151C,0
3550007C,2,3550007A,0
0550002D,64,0550002A,0
9002340F,104,9002329B,0
7680012B,196,7680012A,0
9003600C,55,9003600A,0
9000110B,21,9000110A,0
9001974D,136,9001974A,0
9000250G,55,9000250B,0
2100041D,72,2100041C,0
9000773F,58,9000773B,0
9001797F,86,9001820A,0
9002833B,93,9001008A,0
7100033A,83,7100033A,0
9000544B,79,9000544A,0
9001764E,104,9001764A,0
4800023C,120,4800023A,0
2750004E,193,2750004A,0
2630195C,123,2630195A,0
0900046F,81,0900046A,0
9002439A,86,9000602B,0
0200090B,36,0200090A,0
1780002A,110,1780002A,0
1600024B,104,1600024A,0
9000077A,85,9000077A,0
6000003B,39,6000003A,0
1500056B,63,1500025A,0
9006482F,55,9006482A,0
7150049C,198,7150049A,0
9001147D,180,9001147A,0
9006237A,11,9006237A,0
7680009D,196,7680009A,0
0850020A,87,0850056A,0
1100081D,64,1100081A,0
3300006C,120,3300006A,0
5000024F,2,5000024A,0
9001804A,91,9001804A,0
9006098E,85,9006098C,0
1770016A,2,1770016A,0
9005823A,102,9001281C,0
4700009A,34,4700009A,1
6220102H,14,6220102A,0
0200020B,36,0200088B,0
5250318G,90,5250318A,0
3650014C,155,3650014A,0
3450062C,160,3450062A,0
6250003C,81,6250003C,0
4850003A,192,4850002A,0
4450027F,76,4450092A,0
3900067E,120,3900067A,0
9002813C,86,9002813C,0
3850572C,209,3850082B,1
9000773D,58,9000773B,0
6220064G,14,6220064B,0
2700092A,155,2700092A,0
4400014A,39,4400014A,0
5150156C,36,5150156A,0
9000429D,55,9000042A,0
2080003D,196,2080003A,0
6300018D,14,6300023A,0
9002580B,147,9000449A,0
9002222C,21,9002222A,0
4100017A,192,4100017A,0
7150024D,191,7150024A,0
9000212B,55,9006602A,0
3550056A,1,3550004A,0
9005759B,97,9002159A,0
3450090C,158,3450073D,0
5850002F,110,5850002A,0
9006317A,86,9006317A,0
6700062C,120,6700062A,0
2950052B,155,2950052A,0
3650011E,155,3650011A,0
7410110E,64,7410020A,0
6220188B,14,6220102A,0
6700030B,120,6700023A,0
6300247R,14,6300247C,0
9000173B,62,9000777B,0
9001461C,84,9001461A,0
2950052E,155,2950052A,0
2550060D,45,2550060A,0
7150034C,198,7150041A,0
0520010B,114,0520010A,0
1500093C,63,1500093A,0
3850637E,214,3850637A,0
1750007B,2,1750054A,0
3990028F,156,3990028B,0
9000595C,86,9000595A,0
3450012C,161,3450013B,0
9001943B,137,9001943A,0
9001094B,60,9001095C,0
1070008D,124,1070008A,0
6230052B,120,6230052B,1
2700043J,155,2700043A,0
3850620D,209,3850620A,0
0080075A,83,0080070A,0
9002371C,104,9000269B,0
9000034A,54,9000031A,0
1780066D,110,1780066A,0
9000198C,11,9006258A,0
0150060D,68,0150051A,0
9003466G,19,9003466A,0
9002514A,10,9000362A,0
6820017A,18,6820001A,0
5730008C,192,5730005A,0
9000194A,19,9000023B,0
9000303A,86,9000303A,0
5050006E,192,5050007A,0
9006606A,55,9006611A,0
9007101E,58,9007101E,0
3430018D,104,3430018C,0
9001045C,55,9001044A,0
9001016A,60,9001016A,0
2950016D,155,2950016B,0
5530085F,192,5530085A,0
9001235B,61,9000951A,0
5000004D,2,5000005A,0
6700053F,120,6700053A,0
9000152G,58,9005183B,0
7150031D,191,7150031B,0
9000418A,79,9007367A,0
6550016B,171,6550016A,0
9000513B,86,9000513A,0
0750012D,124,0750012A,0
9000605E,86,9000605A,0
2750017A,193,2750017A,0
